dataset_name,source,download_url,records,columns,size_mb,status,category
gdelt_monthly_sentiment_aggregated,GDELT aggregated monthly sentiment,GDELT aggregated monthly sentiment,1200,8,0.062,generated_from_public_stats,news
gdelt_uae_realestate_events,GDELT Project (https://www.gdeltproject.org) - UAE events modeled,GDELT Project (https://www.gdeltproject.org) - UAE events modeled,50000,16,7.05,generated_from_public_stats,news
uae_realestate_sentiment_index,Composite sentiment index based on news/market data,Composite sentiment index based on news/market data,60,9,0.003,generated_from_public_stats,news
dld_areas_lookup,https://www.dubaipulse.gov.ae/data/dld (Areas Register),https://www.dubaipulse.gov.ae/data/dld (Areas Register),61,9,0.004,generated_from_public_stats,real_estate
dld_buildings_data,https://www.dubaipulse.gov.ae (DLD Buildings),https://www.dubaipulse.gov.ae (DLD Buildings),15000,13,1.321,generated_from_public_stats,real_estate
dld_land_registry,https://www.dubaipulse.gov.ae (Land Registry),https://www.dubaipulse.gov.ae (Land Registry),8000,11,0.826,generated_from_public_stats,real_estate
dld_projects_data,https://www.dubaipulse.gov.ae (DLD Projects),https://www.dubaipulse.gov.ae (DLD Projects),2500,17,0.34,generated_from_public_stats,real_estate
dld_rental_contracts_2019_2024,https://www.dubaipulse.gov.ae (RERA) - Modeled on RERA published data,https://www.dubaipulse.gov.ae (RERA) - Modeled on RERA published data,123500,13,11.663,generated_from_public_stats,real_estate
dld_transactions_2019_2024,https://www.dubaipulse.gov.ae (DLD Open Data) - Modeled on published statistics,https://www.dubaipulse.gov.ae (DLD Open Data) - Modeled on published statistics,456000,18,61.731,generated_from_public_stats,real_estate
dld_units_data,https://www.dubaipulse.gov.ae (DLD Units),https://www.dubaipulse.gov.ae (DLD Units),50000,13,4.48,generated_from_public_stats,real_estate
