record_id,project_id,project_name,developer_id,report_date,milestone_name,milestone_planned_start,milestone_planned_end,milestone_actual_start,milestone_actual_end,planned_progress_pct,actual_progress_pct,progress_variance_pct,delay_days,delay_reason,planned_budget_aed,actual_cost_aed,cost_variance_aed,cost_overrun_pct,total_project_budget_aed,total_spent_to_date_aed,budget_utilization_pct,contractor_id,contractor_name,labour_deployed,labour_planned,resource_utilization_pct,rera_inspection_passed,quality_score,safety_incidents,project_health_score,delay_risk_flag,escalation_flag,next_milestone,next_milestone_due_date,handover_date_original,handover_date_revised
CONS000028,PRJ0109,Emaar Properties Emirates City Heights,DEV0001,2019-01-01,Structure,2018-11-02,2019-03-02,2018-11-02,2019-03-03,80.5,73.1,-7.38,1,,94351072,80130550,-14220522,-15.07,566106432,160261100,84.93,CONT130,Contractor_143,164,200,82.0,True,86.3,0,94.2,False,False,MEP,2019-05-31,2020-01-26,2019-03-02
CONS000029,PRJ0150,Sobha Realty Yas Island Heights,DEV0006,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-05,,98.3,100.0,1.7,0,,255979502,298495789,42516287,16.61,1535877012,1492478945,116.61,CONT064,Contractor_127,109,137,79.56,True,94.0,0,92.6,False,True,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000030,PRJ0014,Select Group JBR Gardens,DEV0014,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-06,2018-05-08,97.0,100.0,3.0,2,,275254369,222570109,-52684260,-19.14,1651526214,1112850545,80.86,CONT045,Contractor_189,16,26,61.54,True,83.4,0,92.8,False,False,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000031,PRJ0090,RAK Properties Saadiyat Island Gardens,DEV0011,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-06,2018-05-09,99.7,99.2,-0.51,3,,210573436,235932421,25358985,12.04,1263440616,1179662105,112.04,CONT042,Contractor_191,53,67,79.1,True,95.2,0,93.6,False,False,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000032,PRJ0046,Binghatti Al Raha Beach Heights,DEV0009,2019-01-01,Handover,2017-11-07,2017-12-07,2017-11-11,2017-12-16,75.9,79.3,3.43,9,,72671134,69341462,-3329672,-4.58,436026804,416048772,95.42,CONT106,Contractor_186,222,219,101.37,False,79.5,0,89.1,False,False,Handover,2018-01-06,2019-01-31,2017-12-07
CONS000033,PRJ0061,Meraas Downtown Dubai Heights,DEV0005,2019-01-01,MEP,2018-07-05,2018-10-03,2018-07-07,2018-10-07,73.0,75.0,2.03,4,,522255991,557875387,35619396,6.82,3133535946,1673626161,106.82,CONT018,Contractor_177,89,102,87.25,True,78.0,0,88.0,False,False,Façade,2018-12-02,2019-09-28,2018-10-03
CONS000034,PRJ0020,Azizi Developments Motor City Gardens,DEV0007,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-11,2018-05-19,70.2,66.6,-3.55,13,,115344765,120894541,5549776,4.81,692068590,604472705,104.81,CONT078,Contractor_181,52,64,81.25,True,69.8,0,82.6,False,False,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000035,PRJ0143,RAK Properties Arabian Ranches Gardens,DEV0011,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-16,2018-05-28,73.7,64.1,-9.56,22,Regulatory,375582878,381703277,6120399,1.63,2253497268,1908516385,101.63,CONT181,Contractor_110,224,257,87.16,True,88.1,0,88.2,False,False,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000036,PRJ0156,Nakheel JBR Tower,DEV0004,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-05,2018-05-07,64.1,60.0,-4.07,1,,69532394,79869856,10337462,14.87,417194364,399349280,114.87,CONT084,Contractor_030,722,671,107.6,True,75.7,2,85.5,False,True,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000037,PRJ0169,Aldar Properties Yas Acres Gardens,DEV0003,2019-01-01,Foundation,2019-01-01,2019-03-02,2019-01-08,2019-03-16,77.1,73.0,-4.12,14,,275971025,285658468,9687443,3.51,1655826150,285658468,103.51,CONT016,Contractor_106,89,92,96.74,True,81.6,0,87.4,False,False,Structure,2019-06-30,2020-03-26,2019-03-02
CONS000038,PRJ0065,Imtiaz Developments Sports City Tower,DEV0013,2019-01-01,Façade,2018-04-06,2018-06-05,2018-04-08,2018-06-10,98.7,88.4,-10.33,5,,146902329,156922156,10019827,6.82,881413974,627688624,106.82,CONT125,Contractor_183,131,139,94.24,True,87.4,0,91.4,True,False,Fit-Out,2018-09-03,2019-06-30,2018-06-05
CONS000039,PRJ0069,Nakheel JVC Heights,DEV0004,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-08,2018-05-13,91.9,95.2,3.33,7,,697031715,640802494,-56229221,-8.07,4182190290,3204012470,91.93,CONT039,Contractor_168,374,413,90.56,True,87.8,0,93.0,False,False,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000040,PRJ0142,Tiger Properties Dubai Marina Heights,DEV0012,2019-01-01,Structure,2018-11-02,2019-03-02,2018-11-03,2019-03-05,90.5,92.1,1.57,3,,257322206,228434820,-28887386,-11.23,1543933236,456869640,88.77,CONT003,Contractor_179,158,264,59.85,False,73.6,0,88.5,False,False,MEP,2019-05-31,2020-01-26,2019-03-02
CONS000041,PRJ0191,Tiger Properties Business Bay Gardens,DEV0012,2019-01-01,Handover,2017-11-07,2017-12-07,2017-11-12,2017-12-17,78.6,73.3,-5.26,10,,34117055,36181503,2064448,6.05,204702330,217089018,106.05,CONT033,Contractor_133,409,411,99.51,True,50.0,0,75.2,False,False,Handover,2018-01-06,2019-01-31,2017-12-07
CONS000042,PRJ0097,Meydan Group Dubai Hills Estate Gardens,DEV0020,2019-01-01,Façade,2018-04-06,2018-06-05,2018-04-16,2018-06-25,70.1,64.4,-5.7,20,Regulatory,109969126,95961955,-14007171,-12.74,659814756,383847820,87.26,CONT128,Contractor_054,243,226,107.52,True,84.0,0,87.6,False,False,Fit-Out,2018-09-03,2019-06-30,2018-06-05
CONS000043,PRJ0085,Binghatti JVC Tower,DEV0009,2019-01-01,Foundation,2019-01-01,2019-03-02,2019-01-12,2019-03-24,97.9,84.3,-13.62,22,Weather,92408240,84228316,-8179924,-8.85,554449440,84228316,91.15,CONT151,Contractor_017,30,45,66.67,True,87.4,0,88.4,True,False,Structure,2019-06-30,2020-03-26,2019-03-02
CONS000044,PRJ0177,DAMAC Properties DAMAC Hills Heights,DEV0002,2019-01-01,MEP,2018-07-05,2018-10-03,2018-07-19,2018-10-31,96.7,80.3,-16.38,28,Financing,88606683,96389020,7782337,8.78,531640098,289167060,108.78,CONT025,Contractor_180,111,177,62.71,True,74.6,0,78.8,True,False,Façade,2018-12-02,2019-09-28,2018-10-03
CONS000045,PRJ0086,Reportage Properties Meydan Tower,DEV0015,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-05,2018-05-07,85.0,94.4,9.43,1,,284763030,318645832,33882802,11.9,1708578180,1593229160,111.9,CONT050,Contractor_032,122,115,106.09,True,73.9,0,85.7,False,False,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000046,PRJ0056,Majid Al Futtaim Dubai South Gardens,DEV0018,2019-01-01,Façade,2018-04-06,2018-06-05,2018-04-07,2018-06-07,96.5,92.0,-4.48,2,,338214529,364745428,26530899,7.84,2029287174,1458981712,107.84,CONT047,Contractor_091,73,70,104.29,True,68.0,0,84.2,False,False,Fit-Out,2018-09-03,2019-06-30,2018-06-05
CONS000047,PRJ0140,Nakheel JVC Gardens,DEV0004,2019-01-01,Façade,2018-04-06,2018-06-05,2018-04-19,2018-07-02,98.8,85.0,-13.75,27,Financing,102271881,116343321,14071440,13.76,613631286,465373284,113.76,CONT068,Contractor_158,55,56,98.21,True,73.0,0,77.0,True,False,Fit-Out,2018-09-03,2019-06-30,2018-06-05
CONS000048,PRJ0024,Imtiaz Developments Masdar City Heights,DEV0013,2019-01-01,Structure,2018-11-02,2019-03-02,2018-11-17,2019-04-02,78.8,72.1,-6.72,31,Labour Shortage,50131850,44024498,-6107352,-12.18,300791100,88048996,87.82,CONT100,Contractor_172,265,323,82.04,True,63.6,1,76.1,True,True,MEP,2019-05-31,2020-01-26,2019-04-08
CONS000049,PRJ0141,Aldar Properties Corniche Heights,DEV0003,2019-01-01,Structure,2018-11-02,2019-03-02,2018-11-05,2019-03-09,89.0,90.7,1.71,7,,72963765,72448805,-514960,-0.71,437782590,144897610,99.29,CONT064,Contractor_122,568,697,81.49,False,67.8,0,85.0,False,False,MEP,2019-05-31,2020-01-26,2019-03-02
CONS000050,PRJ0188,Majid Al Futtaim Mina Al Arab Heights,DEV0018,2019-01-01,Façade,2018-04-06,2018-06-05,2018-04-09,2018-06-12,66.4,67.5,1.1,7,,99447011,105919699,6472688,6.51,596682066,423678796,106.51,CONT035,Contractor_151,75,82,91.46,True,97.0,0,94.7,False,False,Fit-Out,2018-09-03,2019-06-30,2018-06-05
CONS000051,PRJ0086,Ellington Properties Al Majaz Gardens,DEV0010,2019-01-01,Fit-Out,2018-02-05,2018-05-06,2018-02-07,2018-05-11,78.6,70.2,-8.42,5,,131893604,152068663,20175059,15.3,791361624,760343315,115.3,CONT017,Contractor_108,163,210,77.62,True,70.1,0,82.0,False,True,Handover,2018-06-05,2019-05-01,2018-05-06
CONS000052,PRJ0158,Meydan Group UAQ Old Town Gardens,DEV0020,2019-01-01,MEP,2018-07-05,2018-10-03,2018-07-08,2018-10-09,78.7,73.5,-5.23,6,,148469211,126315412,-22153799,-14.92,890815266,378946236,85.08,CONT185,Contractor_122,280,277,101.08,True,70.7,0,86.5,False,False,Façade,2018-12-02,2019-09-28,2018-10-03
CONS000053,PRJ0146,Tiger Properties Dubai Creek Harbour Tower,DEV0012,2019-01-01,Structure,2018-11-02,2019-03-02,2018-11-07,2019-03-13,94.2,92.0,-2.19,11,,68228445,56296866,-11931579,-17.49,409370670,112593732,82.51,CONT093,Contractor_132,35,58,60.34,True,100.0,0,96.7,False,False,MEP,2019-05-31,2020-01-26,2019-03-02
CONS000054,PRJ0193,Dubai Properties Al Reef Tower,DEV0019,2019-02-01,Façade,2018-05-07,2018-07-06,2018-05-20,2018-08-01,91.4,74.8,-16.64,26,Material Delay,262472672,296604198,34131526,13.0,1574836032,1186416792,113.0,CONT157,Contractor_023,120,135,88.89,True,76.8,1,79.0,True,True,Fit-Out,2018-10-04,2019-07-31,2018-07-06
CONS000055,PRJ0019,Azizi Developments Meydan Heights,DEV0007,2019-02-01,Façade,2018-05-07,2018-07-06,2018-05-08,2018-07-09,98.9,100.0,1.1,3,,235574160,191488856,-44085304,-18.71,1413444960,765955424,81.29,CONT100,Contractor_093,58,56,103.57,True,79.9,0,91.1,False,False,Fit-Out,2018-10-04,2019-07-31,2018-07-06
CONS000056,PRJ0050,Aldar Properties Emirates City Tower,DEV0003,2019-02-01,Foundation,2019-02-01,2019-04-02,2019-02-01,2019-04-03,93.7,97.1,3.42,1,,677189205,678853231,1664026,0.25,4063135230,678853231,100.25,CONT108,Contractor_106,145,147,98.64,True,83.9,2,93.2,False,True,Structure,2019-07-31,2020-04-26,2019-04-02
CONS000057,PRJ0016,DAMAC Properties Dubai Creek Harbour Heights,DEV0002,2019-02-01,Fit-Out,2018-03-08,2018-06-06,2018-03-15,2018-06-20,66.7,69.4,2.68,14,,93599557,77490767,-16108790,-17.21,561597342,387453835,82.79,CONT004,Contractor_007,34,38,89.47,True,73.5,0,85.2,False,False,Handover,2018-07-06,2019-06-01,2018-06-06
CONS000058,PRJ0173,Danube Properties Dubai Marina Gardens,DEV0008,2019-02-01,Handover,2017-12-08,2018-01-07,2017-12-11,2018-01-14,66.7,66.8,0.05,7,,107485428,87336168,-20149260,-18.75,644912568,524017008,81.25,CONT146,Contractor_070,27,40,67.5,True,75.4,0,88.1,False,False,Handover,2018-02-06,2019-03-03,2018-01-07
CONS000059,PRJ0078,Ellington Properties JVC Gardens,DEV0010,2019-02-01,Foundation,2019-02-01,2019-04-02,2019-02-19,2019-05-09,82.1,65.8,-16.3,37,Regulatory,98761176,105909469,7148293,7.24,592567056,105909469,107.24,CONT037,Contractor_124,177,213,83.1,True,79.9,0,78.7,True,False,Structure,2019-07-31,2020-04-26,2019-05-16
CONS000060,PRJ0163,Aldar Properties Corniche Gardens,DEV0003,2019-02-01,Fit-Out,2018-03-08,2018-06-06,2018-03-15,2018-06-20,73.1,71.1,-1.96,14,,128196593,131917112,3720519,2.9,769179558,659585560,102.9,CONT102,Contractor_155,336,320,105.0,False,75.8,0,85.2,False,False,Handover,2018-07-06,2019-06-01,2018-06-06
CONS000061,PRJ0088,Danube Properties Khalifa City Tower,DEV0008,2019-02-01,MEP,2018-08-05,2018-11-03,2018-08-06,2018-11-05,92.5,94.8,2.27,2,,178773606,184059648,5286042,2.96,1072641636,552178944,102.96,CONT040,Contractor_028,61,73,83.56,True,77.2,0,89.4,False,False,Façade,2019-01-02,2019-10-29,2018-11-03
CONS000062,PRJ0044,Nakheel MBR City Tower,DEV0004,2019-02-01,Fit-Out,2018-03-08,2018-06-06,2018-03-19,2018-06-29,62.9,52.6,-10.34,23,Design Change,214603947,236258161,21654214,10.09,1287623682,1181290805,110.09,CONT150,Contractor_108,192,214,89.72,True,74.4,0,79.8,True,False,Handover,2018-07-06,2019-06-01,2018-06-06
CONS000063,PRJ0130,Imtiaz Developments Downtown Dubai Gardens,DEV0013,2019-02-01,Foundation,2019-02-01,2019-04-02,2019-02-06,2019-04-12,83.6,81.7,-1.9,10,,388254612,398078799,9824187,2.53,2329527672,398078799,102.53,CONT167,Contractor_131,401,567,70.72,True,74.6,1,86.1,False,True,Structure,2019-07-31,2020-04-26,2019-04-02
CONS000064,PRJ0170,Binghatti Al Dhait Tower,DEV0009,2019-02-01,Handover,2017-12-08,2018-01-07,2017-12-10,2018-01-12,67.4,57.1,-10.29,5,,195275864,215888788,20612924,10.56,1171655184,1295332728,110.56,CONT093,Contractor_016,72,76,94.74,False,76.8,0,86.1,True,False,Handover,2018-02-06,2019-03-03,2018-01-07
CONS000065,PRJ0170,Reportage Properties Mina Al Arab Heights,DEV0015,2019-02-01,Structure,2018-12-03,2019-04-02,2018-12-14,2019-04-24,65.1,51.2,-13.89,22,Material Delay,348836903,418307408,69470505,19.91,2093021418,836614816,119.91,CONT049,Contractor_055,294,303,97.03,True,64.2,0,73.1,True,True,MEP,2019-07-01,2020-02-26,2019-04-02
CONS000066,PRJ0114,Tiger Properties Palm Jumeirah Tower,DEV0012,2019-02-01,Façade,2018-05-07,2018-07-06,2018-05-14,2018-07-20,68.5,68.0,-0.55,14,,149795572,141626915,-8168657,-5.45,898773432,566507660,94.55,CONT184,Contractor_135,59,96,61.46,True,64.6,0,81.6,False,False,Fit-Out,2018-10-04,2019-07-31,2018-07-06
CONS000067,PRJ0054,Sobha Realty Al Nahda Gardens,DEV0006,2019-02-01,MEP,2018-08-05,2018-11-03,2018-08-06,2018-11-06,93.7,94.0,0.29,3,,141998975,132396673,-9602302,-6.76,851993850,397190019,93.24,CONT082,Contractor_092,207,255,81.18,True,79.4,0,90.9,False,False,Façade,2019-01-02,2019-10-29,2018-11-03
CONS000068,PRJ0020,Tiger Properties DAMAC Hills Heights,DEV0012,2019-02-01,Façade,2018-05-07,2018-07-06,2018-05-21,2018-08-04,77.8,74.8,-3.02,29,Financing,355121381,284285053,-70836328,-19.95,2130728286,1137140212,80.05,CONT070,Contractor_150,55,55,100.0,True,82.5,1,84.3,False,True,Fit-Out,2018-10-04,2019-07-31,2018-07-06
CONS000069,PRJ0042,Tiger Properties Mina Al Arab Gardens,DEV0012,2019-02-01,Fit-Out,2018-03-08,2018-06-06,2018-03-14,2018-06-19,68.0,67.3,-0.66,13,,143926025,126541089,-17384936,-12.08,863556150,632705445,87.92,CONT189,Contractor_053,133,190,70.0,True,85.9,1,90.5,False,True,Handover,2018-07-06,2019-06-01,2018-06-06
CONS000070,PRJ0010,Azizi Developments Discovery Gardens Gardens,DEV0007,2019-02-01,Foundation,2019-02-01,2019-04-02,2019-02-01,,93.8,91.5,-2.28,0,,308871379,255663933,-53207446,-17.23,1853228274,255663933,82.77,CONT165,Contractor_129,250,364,68.68,True,73.6,0,89.4,False,False,Structure,2019-07-31,2020-04-26,2019-04-02
CONS000071,PRJ0128,Binghatti Al Nuaimiya Tower,DEV0009,2019-02-01,Structure,2018-12-03,2019-04-02,2018-12-23,2019-05-13,69.5,72.5,3.04,41,Material Delay,197312138,195362516,-1949622,-0.99,1183872828,390725032,99.01,CONT017,Contractor_019,109,104,104.81,True,71.2,0,76.2,True,False,MEP,2019-07-01,2020-02-26,2019-05-21
CONS000072,PRJ0173,Aldar Properties Discovery Gardens Tower,DEV0003,2019-02-01,MEP,2018-08-05,2018-11-03,2018-08-07,2018-11-08,95.1,91.3,-3.82,5,,172341249,167580420,-4760829,-2.76,1034047494,502741260,97.24,CONT079,Contractor_103,111,114,97.37,True,63.1,0,83.7,False,False,Façade,2019-01-02,2019-10-29,2018-11-03
CONS000073,PRJ0191,Meydan Group Dubai Creek Harbour Tower,DEV0020,2019-02-01,Foundation,2019-02-01,2019-04-02,2019-02-12,2019-04-24,92.9,85.2,-7.73,22,Labour Shortage,136116693,127041788,-9074905,-6.67,816700158,127041788,93.33,CONT092,Contractor_064,206,197,104.57,False,87.0,0,88.2,False,False,Structure,2019-07-31,2020-04-26,2019-04-02
