record_id,record_date,year,month,developer_id,developer_name,developer_tier,project_name,emirate,locality,property_type,property_category,bedrooms,units_launched,launch_price_ppsf_aed,units_sold_pct,absorption_rate_units_pm,discount_offered_pct,payment_plan_offered,completion_status,possession_timeline_months,marketing_spend_estimate_aed,digital_ad_impressions,social_media_mentions,cityscape_presence,price_change_pct_mom,competitor_strength_score
COMP000011,2019-01-01,2019,1,DEV0014,Select Group,Tier 2,Select Group Al Reem Island Gardens,Abu Dhabi,Al Reem Island,Apartment,Premium,1BR,33,1995.68,51.6,1.5,4.94,Post-Handover Payment Plan (PHPP),Ready,24,436838,346182,467,False,-2.58,60.0
COMP000012,2019-01-01,2019,1,DEV0002,DAMAC Properties,Tier 1,DAMAC Properties Al Barsha Heights,Dubai,Al Barsha,Apartment,Luxury,4BR,452,3082.05,53.0,39.9,4.81,Deferred Payment,Ready,14,207304,18776,64,False,-1.09,59.1
COMP000013,2019-01-01,2019,1,DEV0001,Emaar Properties,Tier 1,Emaar Properties Mirbah Tower,Fujairah,Mirbah,Studio,Premium,Studio,382,2031.95,45.3,34.6,6.38,Post-Handover Payment Plan (PHPP),Ready,32,724374,453482,594,False,-0.15,81.0
COMP000014,2019-01-01,2019,1,DEV0003,Aldar Properties,Tier 1,Aldar Properties JBR Park,Dubai,JBR,Commercial,Premium,1BR,103,1930.32,44.5,15.3,3.53,Construction-Linked,Off-Plan,1,385061,488650,506,False,1.6,82.3
COMP000015,2019-01-01,2019,1,DEV0007,Azizi Developments,Tier 2,Azizi Developments Al Reef Tower,Abu Dhabi,Al Reef,Apartment,Mid-Market,2BR,270,1163.79,3.4,1.0,3.13,Cash,Ready,15,672328,522908,587,False,-2.42,64.2
COMP000016,2019-01-01,2019,1,DEV0008,Danube Properties,Tier 2,Danube Properties Motor City Gardens,Dubai,Motor City,Apartment,Premium,1BR,20,2965.31,65.7,6.6,3.5,Post-Handover Payment Plan (PHPP),Ready,31,403565,193487,1827,False,0.38,64.5
COMP000017,2019-01-01,2019,1,DEV0017,Object 1,Tier 3,Object 1 Al Reef Residences,Abu Dhabi,Al Reef,Villa,Luxury,Studio,103,5036.12,41.2,14.1,2.15,Cash,Ready,11,247494,41289,41,False,-0.81,93.2
COMP000018,2019-01-01,2019,1,DEV0020,Meydan Group,Tier 1,Meydan Group Yas Acres Residences,Abu Dhabi,Yas Acres,Villa,Mid-Market,1BR,165,1033.16,37.7,15.6,5.72,Construction-Linked,Off-Plan,29,794488,551069,701,False,2.22,50.9
COMP000019,2019-01-01,2019,1,DEV0001,Emaar Properties,Tier 1,Emaar Properties Hayat Island Heights,Ras Al Khaimah,Hayat Island,Commercial,Ultra-Luxury,3BR,27,10219.59,49.9,13.5,1.96,Post-Handover Payment Plan (PHPP),Ready,13,342953,179887,136,False,3.19,69.4
COMP000020,2019-01-01,2019,1,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Al Reef Gardens,Abu Dhabi,Al Reef,Penthouse,Premium,1BR,137,2846.09,45.3,15.5,0.78,Cash,Off-Plan,35,580486,139359,1086,False,2.17,53.5
COMP000021,2019-01-01,2019,1,DEV0007,Azizi Developments,Tier 2,Azizi Developments Downtown Dubai Park,Dubai,Downtown Dubai,Apartment,Affordable,1BR,77,308.76,0.0,0.0,3.02,Mortgage,Off-Plan,10,817210,506542,699,False,0.22,64.9
COMP000022,2019-01-01,2019,1,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Al Yarmook Residences,Sharjah,Al Yarmook,Apartment,Mid-Market,1BR,128,1346.2,67.5,86.4,0.21,Deferred Payment,Ready,2,667456,52392,104,False,0.12,83.6
COMP000023,2019-01-01,2019,1,DEV0014,Select Group,Tier 2,Select Group Emirates City Park,Ajman,Emirates City,Apartment,Ultra-Luxury,Studio,73,13749.62,73.9,53.9,1.18,Cash,Off-Plan,15,256826,218907,342,False,0.44,55.0
COMP000024,2019-01-01,2019,1,DEV0008,Danube Properties,Tier 2,Danube Properties Al Reef Heights,Abu Dhabi,Al Reef,Villa,Luxury,1BR,79,5836.84,44.6,11.7,6.38,Cash,Off-Plan,15,259975,880404,1265,False,-0.38,70.1
COMP000025,2019-01-01,2019,1,DEV0015,Reportage Properties,Tier 3,Reportage Properties Al Raha Beach Park,Abu Dhabi,Al Raha Beach,Villa,Affordable,2BR,62,354.48,17.4,5.4,5.35,Construction-Linked,Off-Plan,23,932376,1604145,640,False,-1.38,44.2
COMP000026,2019-01-01,2019,1,DEV0019,Dubai Properties,Tier 1,Dubai Properties Al Ghadeer Heights,Abu Dhabi,Al Ghadeer,Villa,Mid-Market,5BR+,38,1059.96,84.7,1.5,5.75,Mortgage,Ready,7,2275958,23273,511,False,-2.28,66.9
COMP000027,2019-01-01,2019,1,DEV0009,Binghatti,Tier 2,Binghatti Al Barsha Heights,Dubai,Al Barsha,Penthouse,Affordable,1BR,85,547.75,24.3,5.2,5.1,Cash,Off-Plan,30,290825,147983,578,False,0.2,64.5
COMP000028,2019-01-01,2019,1,DEV0001,Emaar Properties,Tier 1,Emaar Properties Al Barsha Residences,Dubai,Al Barsha,Apartment,Premium,2BR,44,1664.31,73.1,8.0,6.6,Mortgage,Off-Plan,28,750811,16209,530,False,2.93,76.7
COMP000029,2019-01-01,2019,1,DEV0006,Sobha Realty,Tier 1,Sobha Realty Dubai Marina Gardens,Dubai,Dubai Marina,Apartment,Mid-Market,2BR,324,1306.49,54.3,58.6,3.34,Cash,Off-Plan,1,360113,4204602,2463,False,-1.25,50.4
COMP000030,2019-01-01,2019,1,DEV0014,Select Group,Tier 2,Select Group Yas Island Park,Abu Dhabi,Yas Island,Commercial,Affordable,Studio,25,653.69,17.8,2.2,6.76,Mortgage,Off-Plan,27,480846,205558,424,False,2.07,41.5
COMP000031,2019-02-01,2019,2,DEV0011,RAK Properties,Tier 2,RAK Properties Dubai Creek Harbour Park,Dubai,Dubai Creek Harbour,Apartment,Premium,2BR,22,2903.07,47.4,1.0,4.21,Mortgage,Off-Plan,0,231797,1483868,279,False,0.98,73.1
COMP000032,2019-02-01,2019,2,DEV0009,Binghatti,Tier 2,Binghatti Palm Jumeirah Tower,Dubai,Palm Jumeirah,Plot,Mid-Market,1BR,159,1020.07,58.9,18.7,4.16,Mortgage,Ready,4,112483,143379,345,False,0.52,90.6
COMP000033,2019-02-01,2019,2,DEV0005,Meraas,Tier 1,Meraas Motor City Heights,Dubai,Motor City,Villa,Mid-Market,3BR,88,1383.86,48.3,42.5,0.58,Mortgage,Ready,13,1046698,116296,598,False,0.19,67.1
COMP000034,2019-02-01,2019,2,DEV0007,Azizi Developments,Tier 2,Azizi Developments Al Majaz Gardens,Sharjah,Al Majaz,Commercial,Affordable,3BR,29,553.62,52.8,1.5,0.54,Mortgage,Off-Plan,26,653883,203168,945,False,0.91,46.6
COMP000035,2019-02-01,2019,2,DEV0011,RAK Properties,Tier 2,RAK Properties DAMAC Hills Residences,Dubai,DAMAC Hills,Studio,Mid-Market,2BR,195,993.18,61.6,60.1,1.92,Post-Handover Payment Plan (PHPP),Off-Plan,15,288922,220198,701,False,-0.2,75.8
COMP000036,2019-02-01,2019,2,DEV0004,Nakheel,Tier 1,Nakheel Dubai Hills Estate Residences,Dubai,Dubai Hills Estate,Commercial,Luxury,2BR,83,6988.23,31.0,6.4,5.45,Cash,Ready,25,809035,766253,494,False,1.47,88.3
COMP000037,2019-02-01,2019,2,DEV0003,Aldar Properties,Tier 1,Aldar Properties Dubai South Park,Dubai,Dubai South,Apartment,Premium,1BR,43,2501.29,66.3,4.8,1.69,Mortgage,Ready,22,1247174,71663,2402,False,3.36,47.1
COMP000038,2019-02-01,2019,2,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Mina Al Arab Tower,Ras Al Khaimah,Mina Al Arab,Apartment,Mid-Market,2BR,50,1051.09,48.8,4.1,4.5,Mortgage,Off-Plan,22,830729,351167,379,False,1.31,66.9
COMP000039,2019-02-01,2019,2,DEV0004,Nakheel,Tier 1,Nakheel Al Rashidiya Tower,Ajman,Al Rashidiya,Villa,Affordable,3BR,205,841.27,67.6,34.6,2.19,Cash,Off-Plan,7,723854,413319,868,False,-2.0,91.6
COMP000040,2019-02-01,2019,2,DEV0012,Tiger Properties,Tier 2,Tiger Properties Sports City Park,Dubai,Sports City,Villa,Affordable,1BR,271,724.09,71.9,97.4,1.9,Construction-Linked,Ready,22,1803428,746312,502,False,0.38,42.1
COMP000041,2019-02-01,2019,2,DEV0012,Tiger Properties,Tier 2,Tiger Properties DAMAC Hills Tower,Dubai,DAMAC Hills,Apartment,Mid-Market,4BR,23,1439.46,93.3,7.2,5.8,Deferred Payment,Ready,24,1412196,272885,965,False,-2.74,58.9
COMP000042,2019-02-01,2019,2,DEV0020,Meydan Group,Tier 1,Meydan Group Al Dhait Park,Ras Al Khaimah,Al Dhait,Villa,Affordable,3BR,33,787.44,32.2,5.3,5.75,Mortgage,Off-Plan,19,297906,234475,131,False,1.61,43.3
COMP000043,2019-02-01,2019,2,DEV0009,Binghatti,Tier 2,Binghatti Al Shamkha Residences,Abu Dhabi,Al Shamkha,Villa,Luxury,1BR,165,4944.5,87.0,20.5,0.48,Mortgage,Ready,16,758130,769048,185,False,-1.02,63.1
COMP000044,2019-02-01,2019,2,DEV0002,DAMAC Properties,Tier 1,DAMAC Properties Yas Island Gardens,Abu Dhabi,Yas Island,Villa,Mid-Market,1BR,110,1067.72,22.8,25.1,2.52,Mortgage,Ready,9,222161,518420,185,False,0.96,46.9
COMP000045,2019-02-01,2019,2,DEV0015,Reportage Properties,Tier 3,Reportage Properties Dubai Marina Park,Dubai,Dubai Marina,Apartment,Affordable,2BR,135,424.88,86.3,38.8,3.05,Deferred Payment,Off-Plan,18,663031,143939,355,False,-0.36,53.7
COMP000046,2019-02-01,2019,2,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim MBR City Park,Dubai,MBR City,Apartment,Mid-Market,2BR,21,1124.61,70.6,3.7,1.38,Cash,Off-Plan,13,360822,564411,602,False,-4.28,43.3
COMP000047,2019-02-01,2019,2,DEV0004,Nakheel,Tier 1,Nakheel Palm Jumeirah Gardens,Dubai,Palm Jumeirah,Villa,Mid-Market,3BR,33,1429.41,77.0,25.4,4.55,Mortgage,Off-Plan,28,1249049,16242,115,False,2.79,56.7
COMP000048,2019-02-01,2019,2,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Palm Jumeirah Tower,Dubai,Palm Jumeirah,Apartment,Mid-Market,2BR,113,1227.99,52.0,11.8,1.74,Cash,Off-Plan,23,825702,197426,651,False,1.49,69.2
COMP000049,2019-02-01,2019,2,DEV0003,Aldar Properties,Tier 1,Aldar Properties Meydan Gardens,Dubai,Meydan,Apartment,Mid-Market,1BR,80,1259.22,71.0,56.8,2.96,Cash,Ready,14,332914,400108,293,False,2.01,42.1
COMP000050,2019-02-01,2019,2,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Dubai Marina Park,Dubai,Dubai Marina,Plot,Mid-Market,1BR,58,1452.45,84.6,49.1,4.07,Cash,Ready,10,686818,1159039,216,False,1.85,43.5
COMP000051,2019-02-01,2019,2,DEV0010,Ellington Properties,Tier 2,Ellington Properties Arabian Ranches Gardens,Dubai,Arabian Ranches,Townhouse,Mid-Market,1BR,58,1418.79,55.7,16.2,6.27,Deferred Payment,Off-Plan,12,728506,62598,1738,False,-2.06,50.1
COMP000052,2019-02-01,2019,2,DEV0020,Meydan Group,Tier 1,Meydan Group Corniche Gardens,Abu Dhabi,Corniche,Villa,Premium,4BR,54,2511.92,78.9,21.3,0.89,Post-Handover Payment Plan (PHPP),Ready,11,700432,40244,1777,False,1.72,68.9
COMP000053,2019-02-01,2019,2,DEV0012,Tiger Properties,Tier 2,Tiger Properties Khalifa City Residences,Abu Dhabi,Khalifa City,Townhouse,Mid-Market,1BR,80,1437.27,77.0,12.3,1.26,Mortgage,Off-Plan,2,2456994,501538,141,False,-0.0,53.8
COMP000054,2019-02-01,2019,2,DEV0019,Dubai Properties,Tier 1,Dubai Properties Khalifa City Park,Abu Dhabi,Khalifa City,Villa,Premium,2BR,156,2671.88,9.7,3.8,5.94,Mortgage,Off-Plan,21,1712794,218147,1958,False,-0.93,58.0
COMP000055,2019-02-01,2019,2,DEV0007,Azizi Developments,Tier 2,Azizi Developments Al Yarmook Park,Sharjah,Al Yarmook,Studio,Premium,2BR,115,2101.07,41.8,24.0,4.41,Cash,Off-Plan,4,286508,32872,813,False,-1.94,83.0
COMP000056,2019-02-01,2019,2,DEV0003,Aldar Properties,Tier 1,Aldar Properties Dubai Marina Residences,Dubai,Dubai Marina,Villa,Mid-Market,2BR,287,872.79,64.5,37.0,0.42,Mortgage,Ready,11,1403582,2194982,414,False,-1.19,45.9
COMP000057,2019-02-01,2019,2,DEV0002,DAMAC Properties,Tier 1,DAMAC Properties Corniche Gardens,Abu Dhabi,Corniche,Apartment,Mid-Market,3BR,108,1377.84,45.5,24.6,5.22,Cash,Off-Plan,21,432683,577935,293,False,2.16,93.3
COMP000058,2019-02-01,2019,2,DEV0008,Danube Properties,Tier 2,Danube Properties Al Reef Park,Abu Dhabi,Al Reef,Villa,Luxury,2BR,265,3273.49,76.7,50.8,6.27,Mortgage,Ready,7,1031952,401258,924,False,1.21,80.4
COMP000059,2019-02-01,2019,2,DEV0010,Ellington Properties,Tier 2,Ellington Properties Saadiyat Island Gardens,Abu Dhabi,Saadiyat Island,Villa,Mid-Market,Studio,116,1307.77,27.1,5.2,0.1,Post-Handover Payment Plan (PHPP),Ready,33,233043,419140,1402,False,1.35,93.8
COMP000060,2019-02-01,2019,2,DEV0003,Aldar Properties,Tier 1,Aldar Properties Al Reem Island Residences,Abu Dhabi,Al Reem Island,Apartment,Luxury,3BR,207,4758.32,73.2,50.5,3.08,Mortgage,Off-Plan,15,730269,98800,405,False,0.06,50.9
COMP000061,2019-02-01,2019,2,DEV0008,Danube Properties,Tier 2,Danube Properties Masdar City Tower,Abu Dhabi,Masdar City,Villa,Affordable,Studio,41,761.76,53.1,3.6,0.48,Cash,Off-Plan,4,1453582,700844,3803,False,-1.88,84.0
COMP000062,2019-03-01,2019,3,DEV0004,Nakheel,Tier 1,Nakheel Palm Jumeirah Residences,Dubai,Palm Jumeirah,Apartment,Luxury,1BR,113,3021.8,43.2,8.1,0.8,Cash,Off-Plan,25,140128,92983,409,False,0.0,88.4
COMP000063,2019-03-01,2019,3,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Discovery Gardens Heights,Dubai,Discovery Gardens,Villa,Premium,1BR,43,2480.58,71.3,15.3,0.86,Cash,Off-Plan,32,1647479,375145,269,False,0.29,64.1
COMP000064,2019-03-01,2019,3,DEV0009,Binghatti,Tier 2,Binghatti Yas Acres Heights,Abu Dhabi,Yas Acres,Apartment,Luxury,Studio,36,5210.38,64.4,11.6,4.55,Cash,Off-Plan,23,607444,954967,98,False,-1.83,78.8
COMP000065,2019-03-01,2019,3,DEV0015,Reportage Properties,Tier 3,Reportage Properties Muwaileh Heights,Sharjah,Muwaileh,Villa,Mid-Market,Studio,152,1353.7,61.0,23.2,2.21,Cash,Off-Plan,0,852581,434625,1851,False,0.4,62.8
COMP000066,2019-03-01,2019,3,DEV0012,Tiger Properties,Tier 2,Tiger Properties Al Barsha Gardens,Dubai,Al Barsha,Apartment,Mid-Market,1BR,40,1228.55,59.4,23.8,5.35,Post-Handover Payment Plan (PHPP),Off-Plan,16,224781,1029615,1957,False,0.5,46.4
COMP000067,2019-03-01,2019,3,DEV0006,Sobha Realty,Tier 1,Sobha Realty Meydan Tower,Dubai,Meydan,Apartment,Premium,Studio,821,2953.71,24.4,100.2,2.0,Cash,Off-Plan,8,600143,866017,1493,False,1.18,62.4
COMP000068,2019-03-01,2019,3,DEV0012,Tiger Properties,Tier 2,Tiger Properties Al Furjan Tower,Dubai,Al Furjan,Apartment,Ultra-Luxury,4BR,270,13019.29,53.3,48.0,3.4,Mortgage,Off-Plan,32,144920,144034,1147,False,0.87,40.1
COMP000069,2019-03-01,2019,3,DEV0012,Tiger Properties,Tier 2,Tiger Properties Downtown Dubai Gardens,Dubai,Downtown Dubai,Apartment,Premium,1BR,185,1950.6,99.8,16.8,4.69,Construction-Linked,Ready,13,433475,14542,550,False,-0.77,79.1
COMP000070,2019-03-01,2019,3,DEV0007,Azizi Developments,Tier 2,Azizi Developments UAQ Free Trade Zone Gardens,Umm Al Quwain,UAQ Free Trade Zone,Townhouse,Premium,1BR,198,2268.62,29.7,19.6,1.62,Mortgage,Ready,35,1224465,472957,97,False,-2.37,70.9
COMP000071,2019-03-01,2019,3,DEV0009,Binghatti,Tier 2,Binghatti Al Raha Beach Heights,Abu Dhabi,Al Raha Beach,Studio,Luxury,2BR,89,4234.96,52.9,11.8,4.38,Mortgage,Off-Plan,21,1854394,439548,1515,False,-0.01,58.9
COMP000072,2019-03-01,2019,3,DEV0003,Aldar Properties,Tier 1,Aldar Properties Al Furjan Gardens,Dubai,Al Furjan,Villa,Mid-Market,5BR+,91,962.77,22.6,4.1,0.84,Post-Handover Payment Plan (PHPP),Ready,33,315197,161965,235,False,3.54,68.5
COMP000073,2019-03-01,2019,3,DEV0020,Meydan Group,Tier 1,Meydan Group Meydan Heights,Dubai,Meydan,Townhouse,Mid-Market,1BR,38,1462.7,28.5,3.6,1.11,Cash,Off-Plan,23,686636,1650030,375,False,-0.71,72.0
COMP000074,2019-03-01,2019,3,DEV0006,Sobha Realty,Tier 1,Sobha Realty Saadiyat Island Tower,Abu Dhabi,Saadiyat Island,Apartment,Mid-Market,1BR,23,1145.45,43.2,3.3,5.67,Post-Handover Payment Plan (PHPP),Ready,6,195770,650282,139,False,1.04,52.9
COMP000075,2019-03-01,2019,3,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Yas Acres Heights,Abu Dhabi,Yas Acres,Apartment,Premium,4BR,97,2178.7,60.6,58.8,5.37,Cash,Ready,2,1546301,413576,1095,False,-4.48,85.4
COMP000076,2019-03-01,2019,3,DEV0008,Danube Properties,Tier 2,Danube Properties Saadiyat Island Heights,Abu Dhabi,Saadiyat Island,Apartment,Affordable,4BR,23,378.72,50.5,5.8,5.17,Post-Handover Payment Plan (PHPP),Off-Plan,16,545456,240950,477,False,0.56,46.3
COMP000077,2019-03-01,2019,3,DEV0006,Sobha Realty,Tier 1,Sobha Realty DAMAC Hills Gardens,Dubai,DAMAC Hills,Commercial,Affordable,3BR,155,427.27,23.8,7.4,2.91,Cash,Ready,13,227233,1270849,220,False,2.05,67.7
COMP000078,2019-03-01,2019,3,DEV0015,Reportage Properties,Tier 3,Reportage Properties Downtown Dubai Park,Dubai,Downtown Dubai,Commercial,Affordable,1BR,28,685.66,54.1,7.6,0.91,Cash,Off-Plan,4,2653497,800278,180,False,1.82,45.6
COMP000079,2019-03-01,2019,3,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Sports City Park,Dubai,Sports City,Townhouse,Mid-Market,3BR,41,946.67,47.5,2.2,4.15,Cash,Ready,1,427874,36888,764,False,3.18,90.6
COMP000080,2019-03-01,2019,3,DEV0009,Binghatti,Tier 2,Binghatti Motor City Heights,Dubai,Motor City,Apartment,Premium,1BR,104,2225.27,43.8,9.1,6.41,Mortgage,Off-Plan,20,230424,1297627,493,False,0.87,69.8
COMP000081,2019-03-01,2019,3,DEV0018,Majid Al Futtaim,Tier 1,Majid Al Futtaim Fujairah City Tower,Fujairah,Fujairah City,Apartment,Mid-Market,Studio,314,1071.3,51.2,53.6,5.7,Post-Handover Payment Plan (PHPP),Off-Plan,30,768548,718569,856,False,0.03,72.1
COMP000082,2019-03-01,2019,3,DEV0008,Danube Properties,Tier 2,Danube Properties Motor City Heights,Dubai,Motor City,Apartment,Mid-Market,1BR,52,1194.57,54.9,2.4,6.87,Post-Handover Payment Plan (PHPP),Off-Plan,19,113371,467784,1782,False,0.28,91.0
COMP000083,2019-03-01,2019,3,DEV0011,RAK Properties,Tier 2,RAK Properties Dubai Marina Park,Dubai,Dubai Marina,Plot,Premium,3BR,278,2564.18,79.7,110.8,3.32,Cash,Off-Plan,27,1090306,26508,1001,False,2.11,89.7
COMP000084,2019-03-01,2019,3,DEV0002,DAMAC Properties,Tier 1,DAMAC Properties Business Bay Park,Dubai,Business Bay,Apartment,Luxury,2BR,40,3230.24,14.9,1.2,5.6,Post-Handover Payment Plan (PHPP),Ready,8,157272,192789,8,False,-1.73,81.9
COMP000085,2019-03-01,2019,3,DEV0008,Danube Properties,Tier 2,Danube Properties Arabian Ranches Heights,Dubai,Arabian Ranches,Apartment,Premium,1BR,79,2593.87,7.9,3.1,3.14,Deferred Payment,Off-Plan,4,495052,183648,762,False,1.85,77.8
COMP000086,2019-04-01,2019,4,DEV0002,DAMAC Properties,Tier 1,DAMAC Properties Dubai Marina Park,Dubai,Dubai Marina,Villa,Ultra-Luxury,2BR,160,7279.71,27.5,44.0,6.04,Cash,Ready,13,719016,1726173,395,False,-1.68,50.2
COMP000087,2019-04-01,2019,4,DEV0011,RAK Properties,Tier 2,RAK Properties Al Barsha Gardens,Dubai,Al Barsha,Townhouse,Mid-Market,3BR,291,1240.23,94.0,91.2,5.97,Mortgage,Off-Plan,35,385916,321709,2158,False,-0.72,86.2
COMP000088,2019-04-01,2019,4,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Al Barsha Residences,Dubai,Al Barsha,Villa,Mid-Market,1BR,310,956.54,77.9,80.5,5.5,Cash,Off-Plan,26,644624,814040,2639,False,-0.99,74.3
COMP000089,2019-04-01,2019,4,DEV0009,Binghatti,Tier 2,Binghatti Downtown Dubai Residences,Dubai,Downtown Dubai,Penthouse,Mid-Market,1BR,132,890.91,62.5,41.2,1.2,Mortgage,Off-Plan,6,275203,263680,576,False,2.41,74.3
COMP000090,2019-04-01,2019,4,DEV0003,Aldar Properties,Tier 1,Aldar Properties Masdar City Park,Abu Dhabi,Masdar City,Villa,Affordable,2BR,64,797.36,52.1,16.7,4.43,Mortgage,Off-Plan,5,275010,266164,10,False,1.33,71.8
COMP000091,2019-04-01,2019,4,DEV0007,Azizi Developments,Tier 2,Azizi Developments Al Furjan Gardens,Dubai,Al Furjan,Townhouse,Mid-Market,1BR,109,1474.25,51.3,55.9,3.66,Post-Handover Payment Plan (PHPP),Ready,5,388333,503935,178,False,-1.44,71.8
COMP000092,2019-04-01,2019,4,DEV0019,Dubai Properties,Tier 1,Dubai Properties Dubai Creek Harbour Gardens,Dubai,Dubai Creek Harbour,Commercial,Mid-Market,Studio,31,1365.57,76.4,23.7,2.25,Cash,Off-Plan,21,155243,208724,24,False,-0.27,65.2
COMP000093,2019-04-01,2019,4,DEV0011,RAK Properties,Tier 2,RAK Properties Al Marjan Island Residences,Ras Al Khaimah,Al Marjan Island,Commercial,Mid-Market,2BR,58,1367.95,67.9,6.6,5.14,Cash,Ready,10,822217,323858,754,False,-0.68,78.2
COMP000094,2019-04-01,2019,4,DEV0007,Azizi Developments,Tier 2,Azizi Developments Al Furjan Heights,Dubai,Al Furjan,Apartment,Mid-Market,1BR,102,1293.85,0.0,0.0,0.68,Post-Handover Payment Plan (PHPP),Off-Plan,9,203158,908638,353,False,2.1,47.7
COMP000095,2019-04-01,2019,4,DEV0016,Samana Developers,Tier 3,Samana Developers Discovery Gardens Residences,Dubai,Discovery Gardens,Villa,Luxury,1BR,69,5859.07,65.3,15.0,4.85,Deferred Payment,Ready,17,205313,144551,2224,False,1.76,65.5
COMP000096,2019-04-01,2019,4,DEV0013,Imtiaz Developments,Tier 2,Imtiaz Developments Khalifa City Tower,Abu Dhabi,Khalifa City,Apartment,Affordable,2BR,81,538.62,34.6,28.0,2.41,Post-Handover Payment Plan (PHPP),Off-Plan,25,119639,147858,1495,False,1.29,71.4
COMP000097,2019-04-01,2019,4,DEV0015,Reportage Properties,Tier 3,Reportage Properties Al Ghadeer Tower,Abu Dhabi,Al Ghadeer,Townhouse,Mid-Market,3BR,243,1223.82,41.0,11.1,1.88,Cash,Off-Plan,32,998593,512404,24,False,0.82,40.5
COMP000098,2019-04-01,2019,4,DEV0005,Meraas,Tier 1,Meraas Arabian Ranches Tower,Dubai,Arabian Ranches,Villa,Ultra-Luxury,1BR,97,14333.73,64.7,62.8,3.56,Mortgage,Ready,27,587453,212664,1486,False,4.21,43.4
COMP000099,2019-04-01,2019,4,DEV0009,Binghatti,Tier 2,Binghatti Meydan Park,Dubai,Meydan,Plot,Mid-Market,2BR,107,956.51,47.2,10.1,6.19,Cash,Off-Plan,7,312136,404627,664,False,1.66,76.8
