property_id,project_name,developer_id,emirate,city,locality,region,property_type,property_category,bedrooms,completion_status,area_sqft,listed_price_aed,price_per_sqft_aed,total_units_in_project,launch_year,freehold,golden_visa_eligible,dld_permit_no,rera_registration_no,amenities,walkability_score,metro_proximity_km,school_proximity_km,service_charge_per_sqft_aed
PROP0023,Select Group Sports City Gardens,DEV0014,Dubai,Dubai,Sports City,South UAE,Commercial,Mid-Market,2BR,Ready,1508.6,2244921,1488.06,121,2022,True,True,DLD-NOC-305720,RERA-12459,"Pool,Gym,Parking,Concierge,Spa",40.1,0.6,4.1,14.89
PROP0024,Danube Properties Yas Island Gardens,DEV0008,Abu Dhabi,Abu Dhabi,Yas Island,South UAE,Townhouse,Mid-Market,1BR,Off-Plan,4680.0,5616105,1200.03,225,2023,False,True,DLD-NOC-130380,RERA-25328,"Pool,Gym,Parking,Concierge,Spa",90.2,2.5,1.4,16.81
PROP0025,Reportage Properties Discovery Gardens Heights,DEV0015,Dubai,Dubai,Discovery Gardens,South UAE,Apartment,Premium,1BR,Off-Plan,631.2,1097982,1739.59,102,2024,True,False,DLD-NOC-214461,RERA-17326,"Pool,Gym,Parking",75.7,4.1,0.5,29.11
PROP0026,Dubai Properties Sports City Residences,DEV0019,Dubai,Dubai,Sports City,South UAE,Apartment,Mid-Market,2BR,Off-Plan,1168.4,1243717,1064.44,79,2019,True,False,DLD-NOC-146808,RERA-51791,"Parking,Gym",54.0,1.7,2.0,17.0
PROP0027,Binghatti JVC Tower,DEV0009,Dubai,Dubai,JVC,South UAE,Villa,Mid-Market,3BR,Off-Plan,3298.2,4826120,1463.26,55,2024,True,True,DLD-NOC-539910,RERA-66057,"Pool,Gym,Kids Play,Parking",51.5,6.9,1.1,28.63
PROP0028,Emaar Properties Al Qasimia Park,DEV0001,Sharjah,Sharjah,Al Qasimia,Central UAE,Townhouse,Affordable,4BR,Ready,2460.2,963776,391.74,62,2024,True,False,DLD-NOC-435566,RERA-86203,"Pool,Gym,Kids Play,Parking",44.8,5.2,4.5,34.22
PROP0029,Sobha Realty Motor City Views,DEV0006,Dubai,Dubai,Motor City,South UAE,Apartment,Mid-Market,3BR,Ready,738.1,629264,852.58,28,2021,True,False,DLD-NOC-801183,RERA-85220,"Parking,Gym",88.3,3.3,3.9,18.95
PROP0030,Select Group Al Hamra Village Heights,DEV0014,Ras Al Khaimah,Ras Al Khaimah,Al Hamra Village,North UAE,Apartment,Premium,1BR,Off-Plan,1969.5,3800202,1929.57,131,2020,True,True,DLD-NOC-706922,RERA-86510,"Pool,Gym,Parking,Concierge,Spa",79.1,6.4,1.4,20.15
PROP0031,RAK Properties Al Reef Park,DEV0011,Abu Dhabi,Abu Dhabi,Al Reef,South UAE,Apartment,Affordable,3BR,Ready,1599.9,573680,358.57,202,2020,False,False,DLD-NOC-936104,RERA-76847,"Pool,Gym,Parking",92.0,3.9,3.1,29.17
PROP0032,Binghatti Khalifa City Residences,DEV0009,Abu Dhabi,Abu Dhabi,Khalifa City,South UAE,Apartment,Premium,3BR,Off-Plan,1987.2,3456575,1739.4,34,2022,True,True,DLD-NOC-843475,RERA-19433,"Pool,Gym,Parking,Concierge,Spa",69.0,3.0,4.7,13.37
PROP0033,Meraas Al Majaz Park,DEV0005,Sharjah,Sharjah,Al Majaz,Central UAE,Apartment,Mid-Market,Studio,Off-Plan,1909.2,2702355,1415.43,54,2022,True,True,DLD-NOC-219500,RERA-16544,"Parking,Gym",63.6,7.0,2.0,16.62
PROP0034,Azizi Developments Corniche Residences,DEV0007,Abu Dhabi,Abu Dhabi,Corniche,South UAE,Plot,Luxury,3BR,Ready,1077.1,6310206,5858.34,58,2025,True,True,DLD-NOC-613498,RERA-74837,"Parking,Gym",90.8,2.7,3.4,12.33
PROP0035,RAK Properties Al Nahda Gardens,DEV0011,Sharjah,Sharjah,Al Nahda,Central UAE,Townhouse,Mid-Market,2BR,Off-Plan,2776.9,2769249,997.25,232,2022,True,True,DLD-NOC-742544,RERA-12296,"Pool,Gym,Kids Play,Parking",68.9,1.0,3.3,34.85
PROP0036,Nakheel Muwaileh Heights,DEV0004,Sharjah,Sharjah,Muwaileh,Central UAE,Apartment,Luxury,2BR,Off-Plan,598.4,3448308,5762.94,126,2020,False,True,DLD-NOC-771216,RERA-57092,"Parking,Gym",44.1,7.4,4.4,22.38
PROP0037,Aldar Properties Dubai Marina Gardens,DEV0003,Dubai,Dubai,Dubai Marina,South UAE,Apartment,Premium,4BR,Off-Plan,1268.3,2186083,1723.69,146,2023,True,True,DLD-NOC-866251,RERA-42186,"Pool,Gym,Parking",76.8,0.6,1.6,29.1
PROP0038,Imtiaz Developments Business Bay Residences,DEV0013,Dubai,Dubai,Business Bay,South UAE,Commercial,Luxury,2BR,Off-Plan,831.9,3754948,4513.6,46,2024,True,True,DLD-NOC-899368,RERA-86081,"Gym,Parking,BBQ Area",72.3,1.2,1.5,13.65
PROP0039,Nakheel Al Majaz Tower,DEV0004,Sharjah,Sharjah,Al Majaz,Central UAE,Commercial,Luxury,1BR,Ready,1603.1,10215030,6372.04,205,2023,True,True,DLD-NOC-275506,RERA-26520,"Gym,Parking,BBQ Area",54.7,6.0,2.2,27.86
PROP0040,Tiger Properties JVC Gardens,DEV0012,Dubai,Dubai,JVC,South UAE,Townhouse,Premium,3BR,Off-Plan,3365.6,9867495,2931.9,53,2022,True,True,DLD-NOC-942439,RERA-75788,"Pool,Gym,Parking",55.9,6.6,2.4,25.33
PROP0041,Tiger Properties Al Barsha Gardens,DEV0012,Dubai,Dubai,Al Barsha,South UAE,Penthouse,Mid-Market,3BR,Off-Plan,789.0,1039143,1317.0,11,2025,True,False,DLD-NOC-372153,RERA-46843,"Pool,Gym,Kids Play,Parking",57.0,0.2,1.1,33.98
PROP0042,Meydan Group Al Furjan Tower,DEV0020,Dubai,Dubai,Al Furjan,South UAE,Townhouse,Ultra-Luxury,2BR,Ready,1145.8,13637206,11901.45,4,2020,True,True,DLD-NOC-598100,RERA-30575,"Pool,Gym,Parking",72.0,1.8,3.0,16.88
PROP0043,Binghatti Al Nuaimiya Gardens,DEV0009,Ajman,Ajman,Al Nuaimiya,Central UAE,Apartment,Luxury,2BR,Ready,1854.7,9619064,5186.4,22,2023,False,True,DLD-NOC-144858,RERA-99532,"Pool,Gym,Parking",71.1,3.4,3.7,20.44
PROP0044,DAMAC Properties Dubai Marina Park,DEV0002,Dubai,Dubai,Dubai Marina,South UAE,Commercial,Affordable,3BR,Off-Plan,1302.4,1063584,816.64,7,2019,True,False,DLD-NOC-835302,RERA-94032,"Pool,Gym,Parking",46.8,7.0,1.6,29.11
PROP0045,Reportage Properties Meydan Park,DEV0015,Dubai,Dubai,Meydan,South UAE,Studio,Affordable,4BR,Off-Plan,593.3,425425,717.11,4,2022,True,False,DLD-NOC-435512,RERA-94873,"Pool,Gym,Kids Play,Parking",87.1,1.1,4.3,29.4
PROP0046,Majid Al Futtaim Al Furjan Tower,DEV0018,Dubai,Dubai,Al Furjan,South UAE,Apartment,Premium,3BR,Ready,693.7,1794833,2587.48,6,2020,True,False,DLD-NOC-275225,RERA-32692,"Gym,Parking,BBQ Area",48.0,2.3,2.1,33.89
PROP0047,Nakheel Al Raha Beach Heights,DEV0004,Abu Dhabi,Abu Dhabi,Al Raha Beach,South UAE,Plot,Luxury,2BR,Off-Plan,902.4,3718602,4120.71,51,2024,False,True,DLD-NOC-911880,RERA-16184,"Pool,Gym,Parking",61.0,6.4,4.9,16.67
PROP0048,Imtiaz Developments Dubai Hills Estate Views,DEV0013,Dubai,Dubai,Dubai Hills Estate,South UAE,Villa,Premium,Studio,Off-Plan,2608.5,7398973,2836.48,40,2020,True,True,DLD-NOC-601897,RERA-63574,"Pool,Gym,Parking,Concierge,Spa",57.4,6.3,1.2,24.19
PROP0049,Aldar Properties Dubai Creek Harbour Views,DEV0003,Dubai,Dubai,Dubai Creek Harbour,South UAE,Townhouse,Premium,3BR,Off-Plan,3962.4,7980172,2013.96,47,2019,True,True,DLD-NOC-361428,RERA-95883,"Parking,Gym",54.8,1.8,0.8,12.49
PROP0050,Majid Al Futtaim UAQ Free Trade Zone Park,DEV0018,Umm Al Quwain,Umm Al Quwain,UAQ Free Trade Zone,North UAE,Plot,Mid-Market,2BR,Off-Plan,1829.2,2623030,1433.99,20,2021,True,True,DLD-NOC-373578,RERA-18396,"Pool,Gym,Parking",66.8,3.0,2.7,12.44
PROP0051,Ellington Properties Dubai Hills Estate Views,DEV0010,Dubai,Dubai,Dubai Hills Estate,South UAE,Commercial,Premium,2BR,Ready,1320.0,2520423,1909.37,6,2024,True,True,DLD-NOC-764446,RERA-39663,"Parking,Gym",69.7,3.2,2.2,32.35
PROP0052,Meydan Group Al Majaz Tower,DEV0020,Sharjah,Sharjah,Al Majaz,Central UAE,Studio,Affordable,1BR,Ready,1215.5,631059,519.18,13,2025,True,False,DLD-NOC-891875,RERA-29755,"Pool,Gym,Parking,Concierge,Spa",83.9,2.2,3.8,33.01
PROP0053,Tiger Properties Al Barsha Views,DEV0012,Dubai,Dubai,Al Barsha,South UAE,Apartment,Premium,3BR,Ready,439.1,1106114,2519.05,37,2024,True,False,DLD-NOC-452459,RERA-57106,"Pool,Gym,Parking,Concierge,Spa",65.7,7.5,3.0,24.57
PROP0054,Dubai Properties Palm Jumeirah Residences,DEV0019,Dubai,Dubai,Palm Jumeirah,South UAE,Villa,Premium,1BR,Off-Plan,1774.1,3676874,2072.48,157,2019,True,True,DLD-NOC-921893,RERA-35895,"Pool,Gym,Parking",60.7,4.8,2.0,33.3
PROP0055,Azizi Developments Discovery Gardens Views,DEV0007,Dubai,Dubai,Discovery Gardens,South UAE,Penthouse,Affordable,1BR,Ready,1285.7,534378,415.62,73,2019,True,False,DLD-NOC-363238,RERA-86735,"Pool,Gym,Parking",93.6,7.5,4.1,34.94
PROP0056,Aldar Properties Masdar City Heights,DEV0003,Abu Dhabi,Abu Dhabi,Masdar City,South UAE,Studio,Mid-Market,1BR,Ready,890.4,777675,873.43,10,2022,False,False,DLD-NOC-296191,RERA-81213,"Pool,Gym,Parking,Concierge,Spa",66.6,5.1,4.0,24.19
PROP0057,DAMAC Properties Arabian Ranches Views,DEV0002,Dubai,Dubai,Arabian Ranches,South UAE,Townhouse,Premium,3BR,Ready,767.3,1882870,2453.98,16,2024,True,False,DLD-NOC-789339,RERA-15584,"Pool,Gym,Parking",42.2,7.7,4.6,29.86
PROP0058,Danube Properties Al Nahda Tower,DEV0008,Sharjah,Sharjah,Al Nahda,Central UAE,Plot,Affordable,1BR,Off-Plan,1027.7,668573,650.55,22,2019,True,False,DLD-NOC-313838,RERA-96674,"Pool,Gym,Parking",42.5,3.4,4.3,18.66
PROP0059,Ellington Properties Motor City Heights,DEV0010,Dubai,Dubai,Motor City,South UAE,Penthouse,Affordable,2BR,Off-Plan,1964.2,1530719,779.32,53,2023,True,False,DLD-NOC-825445,RERA-82749,"Pool,Gym,Kids Play,Parking",49.2,6.0,2.9,22.82
PROP0060,Aldar Properties Al Qasimia Residences,DEV0003,Sharjah,Sharjah,Al Qasimia,Central UAE,Villa,Mid-Market,1BR,Ready,2369.6,2698485,1138.82,51,2024,True,True,DLD-NOC-272040,RERA-47050,"Pool,Gym,Parking,Concierge,Spa",84.2,6.4,2.4,27.63
PROP0061,Danube Properties Arabian Ranches Residences,DEV0008,Dubai,Dubai,Arabian Ranches,South UAE,Apartment,Ultra-Luxury,3BR,Off-Plan,1307.0,20094959,15374.34,124,2021,True,True,DLD-NOC-256225,RERA-60367,"Pool,Gym,Kids Play,Parking",91.0,1.0,3.3,18.15
PROP0062,Nakheel Arabian Ranches Gardens,DEV0004,Dubai,Dubai,Arabian Ranches,South UAE,Plot,Mid-Market,1BR,Off-Plan,1012.3,1256325,1241.03,28,2019,True,False,DLD-NOC-235260,RERA-10979,"Pool,Gym,Kids Play,Parking",76.0,2.6,2.0,32.0
PROP0063,Imtiaz Developments Saadiyat Island Park,DEV0013,Abu Dhabi,Abu Dhabi,Saadiyat Island,South UAE,Villa,Affordable,5BR+,Off-Plan,4425.2,3339687,754.69,6,2023,False,True,DLD-NOC-585597,RERA-50420,"Parking,Gym",79.4,1.8,1.0,31.78
PROP0064,Binghatti JVC Park,DEV0009,Dubai,Dubai,JVC,South UAE,Villa,Mid-Market,1BR,Ready,4901.2,4253257,867.79,7,2019,True,True,DLD-NOC-465654,RERA-66197,"Parking,Gym",53.8,1.7,2.4,12.34
PROP0065,Reportage Properties Business Bay Views,DEV0015,Dubai,Dubai,Business Bay,South UAE,Apartment,Affordable,3BR,Off-Plan,930.5,505345,543.07,68,2024,True,False,DLD-NOC-597014,RERA-69192,"Pool,Gym,Parking",73.3,7.5,4.9,14.09
PROP0066,Tiger Properties Dubai Creek Harbour Gardens,DEV0012,Dubai,Dubai,Dubai Creek Harbour,South UAE,Studio,Mid-Market,2BR,Ready,1550.7,2298457,1482.22,75,2022,True,True,DLD-NOC-323046,RERA-70607,"Parking,Gym",68.3,0.9,3.9,13.75
PROP0067,Sobha Realty Al Qasimia Heights,DEV0006,Sharjah,Sharjah,Al Qasimia,Central UAE,Apartment,Premium,2BR,Off-Plan,1652.1,3885872,2352.09,127,2023,True,True,DLD-NOC-512974,RERA-47273,"Pool,Gym,Parking,Concierge,Spa",69.3,4.9,4.8,14.98
PROP0068,Tiger Properties Al Ghadeer Park,DEV0012,Abu Dhabi,Abu Dhabi,Al Ghadeer,South UAE,Apartment,Mid-Market,2BR,Ready,973.4,946140,971.98,198,2025,True,False,DLD-NOC-926051,RERA-92456,"Pool,Gym,Parking",82.5,8.0,4.4,12.89
PROP0069,Tiger Properties Yas Island Views,DEV0012,Abu Dhabi,Abu Dhabi,Yas Island,South UAE,Villa,Ultra-Luxury,4BR,Off-Plan,3371.5,39856437,11821.73,53,2022,True,True,DLD-NOC-289441,RERA-95434,"Gym,Parking,BBQ Area",91.9,1.4,4.7,13.43
PROP0070,Azizi Developments Muwaileh Gardens,DEV0007,Sharjah,Sharjah,Muwaileh,Central UAE,Townhouse,Affordable,5BR+,Ready,1210.4,864103,713.91,49,2025,True,False,DLD-NOC-823016,RERA-74663,"Pool,Gym,Parking",58.1,0.3,3.2,13.51
PROP0071,Binghatti Al Nuaimiya Tower,DEV0009,Ajman,Ajman,Al Nuaimiya,Central UAE,Commercial,Affordable,2BR,Off-Plan,662.8,518070,781.64,7,2023,True,False,DLD-NOC-151845,RERA-93453,"Pool,Gym,Parking,Concierge,Spa",82.4,5.5,0.9,18.9
PROP0072,Aldar Properties JVC Park,DEV0003,Dubai,Dubai,JVC,South UAE,Studio,Affordable,3BR,Off-Plan,555.0,260420,469.19,18,2023,True,False,DLD-NOC-540694,RERA-31036,"Pool,Gym,Parking",62.9,2.2,2.8,28.74
PROP0073,Meydan Group Yas Acres Views,DEV0020,Abu Dhabi,Abu Dhabi,Yas Acres,South UAE,Penthouse,Premium,1BR,Off-Plan,1495.5,3588314,2399.4,78,2024,False,True,DLD-NOC-534067,RERA-45855,"Pool,Gym,Kids Play,Parking",73.1,3.4,3.7,24.79
PROP0074,Sobha Realty Motor City Gardens,DEV0006,Dubai,Dubai,Motor City,South UAE,Commercial,Affordable,2BR,Off-Plan,650.6,294087,452.0,6,2024,True,False,DLD-NOC-358172,RERA-93602,"Pool,Gym,Kids Play,Parking",83.4,6.4,1.9,31.54
PROP0075,Majid Al Futtaim Sports City Tower,DEV0018,Dubai,Dubai,Sports City,South UAE,Apartment,Premium,4BR,Ready,1791.0,5269423,2942.2,9,2022,True,True,DLD-NOC-845451,RERA-81203,"Pool,Gym,Kids Play,Parking",48.1,0.4,4.6,15.76
PROP0076,Danube Properties Dubai Creek Harbour Residences,DEV0008,Dubai,Dubai,Dubai Creek Harbour,South UAE,Plot,Affordable,Studio,Off-Plan,1713.1,1097372,640.58,204,2021,True,False,DLD-NOC-427700,RERA-92032,"Pool,Gym,Parking",55.3,3.0,3.4,33.76
PROP0077,Sobha Realty Al Majaz Residences,DEV0006,Sharjah,Sharjah,Al Majaz,Central UAE,Penthouse,Premium,2BR,Off-Plan,1260.0,2906831,2306.94,10,2023,False,True,DLD-NOC-438462,RERA-44690,"Pool,Gym,Parking",47.1,3.7,3.5,21.16
PROP0078,Reportage Properties JVC Gardens,DEV0015,Dubai,Dubai,JVC,South UAE,Apartment,Mid-Market,3BR,Ready,1163.6,1044011,897.23,37,2021,True,False,DLD-NOC-535429,RERA-84529,"Parking,Gym",48.3,2.4,3.2,26.97
PROP0079,Imtiaz Developments Motor City Heights,DEV0013,Dubai,Dubai,Motor City,South UAE,Villa,Premium,2BR,Off-Plan,4920.1,9073262,1844.12,305,2022,True,True,DLD-NOC-962914,RERA-21713,"Pool,Gym,Kids Play,Parking",78.8,1.5,3.7,25.22
PROP0080,Binghatti Yas Island Gardens,DEV0009,Abu Dhabi,Abu Dhabi,Yas Island,South UAE,Apartment,Luxury,2BR,Ready,1861.6,12862840,6909.4,88,2021,False,True,DLD-NOC-614913,RERA-66409,"Pool,Gym,Parking,Concierge,Spa",86.4,3.0,4.6,18.37
PROP0081,Majid Al Futtaim Dubai Marina Views,DEV0018,Dubai,Dubai,Dubai Marina,South UAE,Plot,Mid-Market,5BR+,Ready,597.3,534581,895.02,28,2019,True,False,DLD-NOC-698647,RERA-63434,"Pool,Gym,Parking",47.5,4.1,1.1,24.64
PROP0082,Danube Properties Saadiyat Island Heights,DEV0008,Abu Dhabi,Abu Dhabi,Saadiyat Island,South UAE,Apartment,Ultra-Luxury,2BR,Off-Plan,1022.0,7307593,7150.01,164,2022,True,True,DLD-NOC-543849,RERA-50196,"Pool,Gym,Parking",42.2,5.1,4.5,34.07
PROP0083,RAK Properties Arabian Ranches Gardens,DEV0011,Dubai,Dubai,Arabian Ranches,South UAE,Apartment,Premium,4BR,Off-Plan,1099.7,2297790,2089.5,23,2022,True,True,DLD-NOC-347796,RERA-27590,"Pool,Gym,Parking",44.0,0.4,2.1,19.28
PROP0084,DAMAC Properties Downtown Dubai Residences,DEV0002,Dubai,Dubai,Downtown Dubai,South UAE,Penthouse,Premium,1BR,Ready,1563.4,2810873,1797.93,10,2022,True,True,DLD-NOC-790162,RERA-36917,"Pool,Gym,Parking",48.0,7.4,2.5,22.11
PROP0085,Danube Properties Al Marjan Island Residences,DEV0008,Ras Al Khaimah,Ras Al Khaimah,Al Marjan Island,North UAE,Townhouse,Affordable,1BR,Off-Plan,2902.8,1921432,661.93,21,2025,True,False,DLD-NOC-385812,RERA-70611,"Pool,Gym,Kids Play,Parking",84.1,1.4,2.3,12.99
PROP0086,DAMAC Properties Al Ghadeer Gardens,DEV0002,Abu Dhabi,Abu Dhabi,Al Ghadeer,South UAE,Apartment,Affordable,4BR,Ready,480.4,373907,778.25,5,2020,False,False,DLD-NOC-611836,RERA-10407,"Pool,Gym,Parking,Concierge,Spa",76.0,1.0,3.0,23.57
PROP0087,RAK Properties Motor City Views,DEV0011,Dubai,Dubai,Motor City,South UAE,Penthouse,Affordable,1BR,Ready,1650.3,1092204,661.84,111,2021,True,False,DLD-NOC-356360,RERA-35555,"Parking,Gym",83.9,2.3,3.4,19.89
PROP0088,Imtiaz Developments Yas Acres Residences,DEV0013,Abu Dhabi,Abu Dhabi,Yas Acres,South UAE,Villa,Luxury,3BR,Ready,3398.5,13095991,3853.48,92,2023,True,True,DLD-NOC-272043,RERA-66742,"Gym,Parking,BBQ Area",51.8,2.6,4.0,22.29
PROP0089,Binghatti MBR City Park,DEV0009,Dubai,Dubai,MBR City,South UAE,Commercial,Mid-Market,1BR,Ready,531.0,704931,1327.55,41,2022,True,False,DLD-NOC-971167,RERA-20300,"Pool,Gym,Kids Play,Parking",79.1,3.6,4.0,17.32
PROP0090,Aldar Properties Al Furjan Heights,DEV0003,Dubai,Dubai,Al Furjan,South UAE,Studio,Premium,1BR,Off-Plan,411.1,870490,2117.66,44,2025,True,False,DLD-NOC-657085,RERA-48986,"Pool,Gym,Kids Play,Parking",90.1,7.6,0.9,30.41
PROP0091,Azizi Developments Al Marjan Island Residences,DEV0007,Ras Al Khaimah,Ras Al Khaimah,Al Marjan Island,North UAE,Penthouse,Premium,1BR,Off-Plan,503.7,806747,1601.76,19,2025,True,False,DLD-NOC-936676,RERA-38633,"Pool,Gym,Kids Play,Parking",69.5,1.0,0.6,25.83
PROP0092,Dubai Properties Al Yarmook Heights,DEV0019,Sharjah,Sharjah,Al Yarmook,Central UAE,Commercial,Mid-Market,1BR,Off-Plan,1856.7,1981111,1067.01,19,2025,True,False,DLD-NOC-521465,RERA-16530,"Parking,Gym",81.4,6.2,4.0,27.84
PROP0093,RAK Properties JBR Tower,DEV0011,Dubai,Dubai,JBR,South UAE,Townhouse,Ultra-Luxury,3BR,Off-Plan,916.8,12365699,13488.16,515,2025,True,True,DLD-NOC-511563,RERA-80119,"Pool,Gym,Parking,Concierge,Spa",44.4,6.8,4.2,31.91
