project_id,project_name,project_type,authority,emirate,budget_aed_million,start_year,expected_completion_year,status,latitude,longitude,impact_on_real_estate,estimated_jobs_created
INFRA-0034,Metro Expansion - Zone 5,Metro Expansion,Expo Authority,Abu Dhabi,4440,2022,2023,Planned,25.0378,55.5153,High,6715
INFRA-0035,Free Zone - Zone 9,Free Zone,ADNOC,Dubai,2338,2018,2023,In Progress,25.0861,55.1162,Medium,8601
INFRA-0036,Mixed Use Development Zone - Zone 17,Mixed Use Development Zone,Smart Dubai,Sharjah,1397,2020,2021,In Progress,25.0074,54.9584,High,5168
INFRA-0037,Airport Expansion - Zone 8,Airport Expansion,DEWA,Dubai,3817,2024,2025,In Progress,25.3641,55.1257,High,7647
INFRA-0038,Airport Expansion - Zone 10,Airport Expansion,Dubai Municipality,Abu Dhabi,3701,2021,2024,Completed,24.9137,55.1845,Low,7745
INFRA-0039,Port Development - Zone 2,Port Development,DEWA,Sharjah,3389,2018,2021,Completed,24.9854,55.5116,Medium,2764
INFRA-0040,Metro Expansion - Zone 6,Metro Expansion,DEWA,Sharjah,225,2023,2027,Tendered,25.004,55.0248,High,8746
INFRA-0041,Road Widening - Zone 17,Road Widening,Smart Dubai,Dubai,1716,2022,2025,Planned,24.8075,55.1146,Low,5993
INFRA-0042,Free Zone - Zone 16,Free Zone,DEWA,Abu Dhabi,171,2019,2020,Completed,25.183,55.1427,Medium,6690
INFRA-0043,Smart City - Zone 11,Smart City,Expo Authority,Abu Dhabi,2033,2024,2029,Completed,24.8673,55.0653,Medium,5631
INFRA-0044,Port Development - Zone 16,Port Development,Smart Dubai,Sharjah,2328,2024,2025,In Progress,25.0316,55.4043,High,6580
INFRA-0045,Metro Expansion - Zone 1,Metro Expansion,RTA,Dubai,330,2021,2022,In Progress,25.0383,55.2631,High,3099
INFRA-0046,Cycling Track - Zone 12,Cycling Track,ADNOC,Abu Dhabi,813,2022,2024,Completed,24.9676,55.4791,Low,3640
INFRA-0047,Road Widening - Zone 9,Road Widening,DMRC,Dubai,3063,2022,2023,Completed,24.9005,55.0843,High,7311
INFRA-0048,Free Zone - Zone 11,Free Zone,Expo Authority,Abu Dhabi,538,2023,2027,Completed,25.1343,55.2785,Medium,6429
INFRA-0049,Cycling Track - Zone 8,Cycling Track,ADNOC,Other,3192,2022,2025,In Progress,25.0513,55.5149,Medium,8893
INFRA-0050,Port Development - Zone 3,Port Development,Expo Authority,Dubai,4742,2018,2019,In Progress,25.2323,54.961,Low,7681
INFRA-0051,Smart City - Zone 4,Smart City,ADNOC,Abu Dhabi,838,2019,2020,In Progress,25.0115,54.9529,Medium,8345
INFRA-0052,Cycling Track - Zone 17,Cycling Track,RTA,Sharjah,3516,2019,2023,In Progress,24.8846,54.9427,Low,1737
INFRA-0053,Road Widening - Zone 8,Road Widening,DMRC,Dubai,4584,2019,2020,Completed,25.0108,55.4801,High,8771
INFRA-0054,Airport Expansion - Zone 14,Airport Expansion,RTA,Dubai,4230,2023,2024,In Progress,25.3247,55.1041,Low,9185
INFRA-0055,Mixed Use Development Zone - Zone 16,Mixed Use Development Zone,ADNOC,Dubai,4225,2023,2028,Completed,25.23,55.1201,Medium,4354
INFRA-0056,Metro Expansion - Zone 20,Metro Expansion,Dubai South,Abu Dhabi,4557,2022,2024,In Progress,24.8983,55.1408,Medium,6562
INFRA-0057,Water Infrastructure - Zone 17,Water Infrastructure,Dubai South,Dubai,389,2018,2020,Completed,25.3352,55.1029,Medium,1936
INFRA-0058,Smart Road - Zone 9,Smart Road,Dubai South,Dubai,1702,2024,2028,Tendered,25.2317,55.4942,Medium,5537
INFRA-0059,Free Zone - Zone 7,Free Zone,DMRC,Other,2476,2022,2024,Planned,25.1882,55.3901,Medium,4863
INFRA-0060,Free Zone - Zone 4,Free Zone,Dubai South,Dubai,3618,2023,2026,In Progress,25.0215,55.698,Low,697
INFRA-0061,Airport Expansion - Zone 18,Airport Expansion,DEWA,Dubai,173,2018,2022,In Progress,24.894,55.3375,High,4439
INFRA-0062,Port Development - Zone 6,Port Development,Dubai Municipality,Other,2000,2020,2023,Completed,25.1019,55.4119,Medium,9386
INFRA-0063,Water Infrastructure - Zone 6,Water Infrastructure,DMRC,Sharjah,449,2023,2025,In Progress,25.3867,55.3032,Medium,4091
INFRA-0064,Road Widening - Zone 6,Road Widening,Expo Authority,Dubai,565,2018,2020,In Progress,25.1169,55.2819,Low,3484
INFRA-0065,Cycling Track - Zone 17,Cycling Track,RTA,Abu Dhabi,1008,2019,2023,In Progress,25.0836,55.2133,High,9337
INFRA-0066,Port Development - Zone 5,Port Development,Dubai Municipality,Dubai,2668,2020,2023,Completed,25.1204,55.1606,High,6559
INFRA-0067,Airport Expansion - Zone 7,Airport Expansion,Expo Authority,Dubai,121,2019,2024,In Progress,24.8479,55.025,Medium,898
INFRA-0068,Cycling Track - Zone 11,Cycling Track,DMRC,Dubai,261,2021,2022,Completed,25.0585,55.4854,High,5362
INFRA-0069,Port Development - Zone 14,Port Development,ADNOC,Sharjah,1499,2021,2022,Completed,25.0004,55.4357,Low,5664
INFRA-0070,Bridge/Overpass - Zone 4,Bridge/Overpass,DMRC,Abu Dhabi,1708,2018,2020,In Progress,24.9731,54.9662,Medium,7180
INFRA-0071,Airport Expansion - Zone 12,Airport Expansion,Smart Dubai,Dubai,274,2024,2029,Completed,25.363,55.2508,High,5963
INFRA-0072,Smart Road - Zone 15,Smart Road,RTA,Abu Dhabi,2786,2022,2023,Planned,25.1079,55.594,High,8979
INFRA-0073,Mixed Use Development Zone - Zone 3,Mixed Use Development Zone,DMRC,Abu Dhabi,810,2024,2026,Planned,25.0193,55.0088,High,9123
INFRA-0074,Bridge/Overpass - Zone 1,Bridge/Overpass,ADNOC,Dubai,2942,2023,2025,Planned,24.9591,54.99,Low,2556
INFRA-0075,Water Infrastructure - Zone 3,Water Infrastructure,Dubai Municipality,Sharjah,4520,2024,2026,In Progress,24.8931,55.2236,Medium,4048
INFRA-0076,Smart Road - Zone 4,Smart Road,DEWA,Dubai,2938,2023,2028,Tendered,25.0364,55.308,Medium,4769
INFRA-0077,Smart City - Zone 15,Smart City,Smart Dubai,Dubai,4560,2023,2024,Completed,25.0865,55.6359,Low,1451
INFRA-0078,Water Infrastructure - Zone 12,Water Infrastructure,ADNOC,Dubai,3276,2019,2021,Planned,25.1515,55.2319,Low,8061
INFRA-0079,Mixed Use Development Zone - Zone 12,Mixed Use Development Zone,Dubai South,Dubai,1437,2021,2026,In Progress,25.2124,55.4743,Medium,3392
INFRA-0080,District Cooling - Zone 10,District Cooling,ADJP,Dubai,307,2020,2025,Completed,25.3332,55.1211,High,7105
INFRA-0081,Road Widening - Zone 16,Road Widening,ADNOC,Sharjah,2688,2024,2026,In Progress,25.0257,55.4105,Medium,257
INFRA-0082,Free Zone - Zone 20,Free Zone,DEWA,Dubai,4143,2021,2024,Completed,24.8489,55.3685,Medium,5772
INFRA-0083,District Cooling - Zone 1,District Cooling,Dubai Municipality,Dubai,2560,2019,2021,Completed,25.1242,54.9253,High,5278
INFRA-0084,District Cooling - Zone 11,District Cooling,Smart Dubai,Dubai,2224,2024,2025,Completed,25.0372,55.5863,High,9210
INFRA-0085,Airport Expansion - Zone 2,Airport Expansion,DMRC,Sharjah,4407,2018,2023,Completed,25.2971,55.452,Medium,3342
INFRA-0086,Smart Road - Zone 2,Smart Road,ADJP,Abu Dhabi,3620,2020,2021,Completed,25.306,55.3276,High,6078
INFRA-0087,Port Development - Zone 3,Port Development,Smart Dubai,Dubai,1933,2020,2023,Planned,25.1971,55.3653,Medium,7264
INFRA-0088,Metro Expansion - Zone 6,Metro Expansion,DMRC,Abu Dhabi,1120,2018,2022,Completed,24.8255,55.6465,High,9760
INFRA-0089,Water Infrastructure - Zone 14,Water Infrastructure,RTA,Dubai,2349,2020,2025,In Progress,25.2025,55.3712,Low,1225
INFRA-0090,Bridge/Overpass - Zone 10,Bridge/Overpass,RTA,Dubai,1496,2023,2024,Tendered,24.8271,55.1833,Medium,9884
INFRA-0091,District Cooling - Zone 3,District Cooling,Expo Authority,Dubai,4458,2020,2024,Completed,25.084,55.173,Low,9882
INFRA-0092,Road Widening - Zone 19,Road Widening,DMRC,Dubai,4101,2019,2023,Planned,24.8317,54.9137,Medium,6160
INFRA-0093,Port Development - Zone 8,Port Development,Expo Authority,Dubai,1277,2022,2023,Completed,25.274,55.3781,High,5495
INFRA-0094,Free Zone - Zone 13,Free Zone,Dubai Municipality,Sharjah,4482,2020,2025,Planned,25.2758,55.3358,Low,7492
INFRA-0095,Smart Road - Zone 6,Smart Road,RTA,Other,2895,2022,2027,Completed,24.9361,55.496,Low,4682
INFRA-0096,District Cooling - Zone 15,District Cooling,ADNOC,Dubai,2711,2023,2025,In Progress,24.8696,55.2688,Low,8248
INFRA-0097,Water Infrastructure - Zone 18,Water Infrastructure,DMRC,Dubai,4056,2023,2025,In Progress,25.0759,55.0074,High,7694
INFRA-0098,Smart Road - Zone 16,Smart Road,ADNOC,Sharjah,2225,2018,2022,Completed,25.1012,55.3769,High,9210
INFRA-0099,Cycling Track - Zone 17,Cycling Track,DMRC,Other,107,2018,2019,In Progress,25.2908,55.5224,Medium,1422
INFRA-0100,Cycling Track - Zone 2,Cycling Track,Dubai South,Dubai,2562,2022,2027,In Progress,25.3429,55.0415,High,6339
INFRA-0101,Free Zone - Zone 17,Free Zone,DMRC,Sharjah,1080,2023,2028,Completed,24.8732,55.102,Low,4302
INFRA-0102,Mixed Use Development Zone - Zone 4,Mixed Use Development Zone,ADNOC,Dubai,4608,2018,2021,In Progress,24.9295,54.933,Low,5199
INFRA-0103,Free Zone - Zone 14,Free Zone,ADNOC,Sharjah,4571,2018,2019,In Progress,25.2432,55.4055,Low,4568
INFRA-0104,Free Zone - Zone 7,Free Zone,ADJP,Dubai,4251,2019,2022,Planned,25.1599,55.5236,Low,1859
INFRA-0105,Port Development - Zone 19,Port Development,Dubai Municipality,Dubai,4405,2019,2021,Planned,25.27,55.3849,Low,5384
INFRA-0106,Smart Road - Zone 11,Smart Road,Dubai South,Dubai,3991,2021,2024,Tendered,25.2547,55.4651,Medium,2064
INFRA-0107,Smart Road - Zone 4,Smart Road,RTA,Dubai,2103,2024,2028,Tendered,25.2251,54.9044,Medium,951
INFRA-0108,Free Zone - Zone 18,Free Zone,RTA,Dubai,4181,2024,2025,In Progress,25.1557,54.9636,High,6332
INFRA-0109,Cycling Track - Zone 6,Cycling Track,RTA,Other,2228,2023,2025,Tendered,25.17,55.1748,High,4984
INFRA-0110,Metro Expansion - Zone 18,Metro Expansion,Smart Dubai,Dubai,1436,2020,2022,Completed,25.3606,55.3703,High,2865
INFRA-0111,Road Widening - Zone 11,Road Widening,Expo Authority,Abu Dhabi,1829,2019,2022,Planned,24.8113,55.2848,Low,9192
INFRA-0112,Bridge/Overpass - Zone 10,Bridge/Overpass,Smart Dubai,Dubai,1838,2024,2029,Completed,25.042,54.9694,Medium,9568
INFRA-0113,Smart Road - Zone 5,Smart Road,ADNOC,Abu Dhabi,1651,2022,2024,Completed,24.8717,54.9425,High,1232
INFRA-0114,Bridge/Overpass - Zone 16,Bridge/Overpass,Dubai South,Dubai,565,2019,2024,In Progress,25.0107,55.3956,Medium,8967
INFRA-0115,Road Widening - Zone 15,Road Widening,Dubai Municipality,Abu Dhabi,3816,2021,2023,Completed,25.2076,55.1324,Low,9018
INFRA-0116,Cycling Track - Zone 17,Cycling Track,Smart Dubai,Dubai,683,2022,2027,In Progress,25.1498,55.0383,Medium,204
INFRA-0117,District Cooling - Zone 15,District Cooling,Dubai Municipality,Other,1993,2023,2025,Planned,25.3211,55.0184,Medium,9352
INFRA-0118,Smart Road - Zone 8,Smart Road,RTA,Dubai,2445,2022,2026,Completed,24.9057,55.3403,Medium,372
INFRA-0119,Bridge/Overpass - Zone 11,Bridge/Overpass,Expo Authority,Dubai,4795,2023,2028,Completed,25.0432,55.6366,Low,4761
INFRA-0120,Port Development - Zone 19,Port Development,ADNOC,Dubai,2614,2021,2026,Planned,25.0558,55.3927,Low,2328
INFRA-0121,Port Development - Zone 14,Port Development,ADNOC,Sharjah,1595,2019,2020,Completed,25.3031,55.2216,Low,8504
INFRA-0122,Smart City - Zone 16,Smart City,DEWA,Dubai,4765,2021,2023,Tendered,24.9196,55.6068,Medium,3251
INFRA-0123,Water Infrastructure - Zone 4,Water Infrastructure,ADNOC,Dubai,4094,2021,2025,Completed,25.3044,55.1777,Low,7506
INFRA-0124,Cycling Track - Zone 8,Cycling Track,DMRC,Other,382,2022,2027,In Progress,25.006,54.9831,High,2226
INFRA-0125,Airport Expansion - Zone 3,Airport Expansion,Dubai South,Sharjah,2763,2020,2025,Completed,24.8108,55.5173,High,7731
INFRA-0126,Smart Road - Zone 6,Smart Road,DMRC,Abu Dhabi,3975,2020,2021,In Progress,24.9541,55.3895,Medium,3549
INFRA-0127,Smart City - Zone 19,Smart City,ADJP,Dubai,1880,2018,2022,In Progress,24.9013,54.9576,Medium,3626
INFRA-0128,District Cooling - Zone 6,District Cooling,Smart Dubai,Dubai,3980,2018,2020,Planned,25.2445,55.1992,Medium,7471
INFRA-0129,Airport Expansion - Zone 19,Airport Expansion,ADNOC,Abu Dhabi,2380,2024,2025,Completed,25.1556,55.2534,Medium,3205
INFRA-0130,Smart City - Zone 2,Smart City,Expo Authority,Abu Dhabi,3685,2024,2029,Completed,25.1072,55.6068,Low,5568
INFRA-0131,Free Zone - Zone 12,Free Zone,ADJP,Dubai,1907,2021,2025,In Progress,25.0648,55.584,High,6884
INFRA-0132,Mixed Use Development Zone - Zone 17,Mixed Use Development Zone,Dubai Municipality,Abu Dhabi,3131,2021,2022,In Progress,25.2481,55.0182,Low,1602
INFRA-0133,Smart Road - Zone 6,Smart Road,Expo Authority,Dubai,4170,2023,2027,Planned,25.3166,55.2937,Medium,5575
INFRA-0134,District Cooling - Zone 15,District Cooling,Expo Authority,Abu Dhabi,2313,2024,2028,Planned,24.8695,55.6457,Low,6064
INFRA-0135,Metro Expansion - Zone 14,Metro Expansion,ADJP,Dubai,4803,2020,2022,Planned,24.9097,54.9956,Low,3876
INFRA-0136,Smart Road - Zone 14,Smart Road,Smart Dubai,Sharjah,4150,2023,2025,In Progress,24.9142,55.4002,Low,5241
INFRA-0137,Bridge/Overpass - Zone 9,Bridge/Overpass,RTA,Dubai,4868,2022,2024,In Progress,25.2701,55.2529,Low,7917
INFRA-0138,Airport Expansion - Zone 10,Airport Expansion,Dubai South,Dubai,3715,2018,2020,Completed,24.9043,55.6098,Medium,8687
INFRA-0139,Cycling Track - Zone 7,Cycling Track,Smart Dubai,Dubai,230,2018,2022,In Progress,25.1382,54.973,Medium,8355
INFRA-0140,Airport Expansion - Zone 20,Airport Expansion,Dubai South,Dubai,4036,2020,2021,In Progress,25.1365,55.1575,Low,4283
INFRA-0141,Road Widening - Zone 19,Road Widening,RTA,Abu Dhabi,2386,2024,2027,Completed,25.3992,55.3567,Medium,6250
INFRA-0142,Metro Expansion - Zone 11,Metro Expansion,Dubai South,Abu Dhabi,4815,2019,2021,Completed,25.0871,55.6042,Low,1103
INFRA-0143,Water Infrastructure - Zone 20,Water Infrastructure,RTA,Sharjah,1064,2019,2020,In Progress,24.9184,55.6334,Low,7923
INFRA-0144,Smart City - Zone 5,Smart City,Smart Dubai,Abu Dhabi,3045,2019,2023,Completed,25.0303,55.3049,High,7328
INFRA-0145,Smart City - Zone 7,Smart City,Dubai South,Dubai,490,2023,2027,Completed,25.2136,55.3835,Medium,6350
INFRA-0146,Port Development - Zone 8,Port Development,Dubai South,Abu Dhabi,3165,2018,2019,Planned,24.9644,55.4526,Medium,4747
INFRA-0147,Water Infrastructure - Zone 11,Water Infrastructure,RTA,Other,1286,2018,2019,Completed,25.3787,55.1368,Medium,8560
INFRA-0148,Free Zone - Zone 1,Free Zone,RTA,Abu Dhabi,3917,2021,2024,In Progress,25.1569,55.4162,Low,772
INFRA-0149,Airport Expansion - Zone 18,Airport Expansion,DMRC,Dubai,3642,2020,2025,In Progress,25.2844,55.274,High,5929
INFRA-0150,Metro Expansion - Zone 15,Metro Expansion,Smart Dubai,Dubai,243,2018,2020,In Progress,25.3813,54.9333,Medium,6475
INFRA-0151,Metro Expansion - Zone 8,Metro Expansion,Smart Dubai,Dubai,2495,2019,2022,Planned,25.0377,54.9861,High,2317
INFRA-0152,District Cooling - Zone 1,District Cooling,ADNOC,Sharjah,4654,2018,2023,Completed,24.8838,55.6866,Low,4088
INFRA-0153,Free Zone - Zone 6,Free Zone,Smart Dubai,Dubai,4705,2020,2023,Completed,24.8439,55.1498,High,563
INFRA-0154,Water Infrastructure - Zone 11,Water Infrastructure,DEWA,Sharjah,275,2021,2022,Tendered,25.2016,55.4536,Medium,2649
INFRA-0155,Cycling Track - Zone 5,Cycling Track,DEWA,Sharjah,2627,2019,2023,Completed,25.0223,55.434,Medium,6118
INFRA-0156,Smart Road - Zone 8,Smart Road,ADNOC,Dubai,2672,2022,2024,Completed,24.8299,55.5057,High,3989
INFRA-0157,Bridge/Overpass - Zone 10,Bridge/Overpass,Expo Authority,Abu Dhabi,2099,2018,2021,Planned,24.9415,55.0356,Low,3774
INFRA-0158,Port Development - Zone 6,Port Development,Dubai South,Other,2527,2020,2024,Planned,25.2709,55.5855,High,6211
INFRA-0159,Cycling Track - Zone 5,Cycling Track,Dubai South,Dubai,2416,2018,2020,In Progress,25.0357,55.1388,Low,7152
INFRA-0160,Port Development - Zone 7,Port Development,Dubai South,Dubai,2741,2024,2025,In Progress,25.3713,55.3893,Medium,8185
INFRA-0161,Free Zone - Zone 20,Free Zone,DMRC,Dubai,1256,2018,2020,In Progress,24.8746,55.2557,Medium,133
INFRA-0162,Smart City - Zone 1,Smart City,DMRC,Dubai,607,2024,2026,In Progress,25.2181,55.5874,Medium,8666
INFRA-0163,Bridge/Overpass - Zone 3,Bridge/Overpass,Smart Dubai,Dubai,944,2022,2027,Completed,25.0886,54.9743,Medium,7644
INFRA-0164,District Cooling - Zone 15,District Cooling,ADNOC,Dubai,848,2022,2024,In Progress,25.0912,54.9564,High,6550
INFRA-0165,Free Zone - Zone 16,Free Zone,DEWA,Abu Dhabi,3820,2021,2024,Planned,25.1768,54.9751,Low,4879
INFRA-0166,Metro Expansion - Zone 1,Metro Expansion,DEWA,Dubai,3472,2022,2027,Completed,25.194,55.577,High,9508
INFRA-0167,Airport Expansion - Zone 14,Airport Expansion,DMRC,Other,4042,2019,2022,In Progress,25.2886,54.967,Low,163
INFRA-0168,Airport Expansion - Zone 12,Airport Expansion,Smart Dubai,Dubai,3286,2018,2020,Completed,24.9116,54.9148,Medium,7482
INFRA-0169,Smart Road - Zone 9,Smart Road,ADNOC,Dubai,4614,2023,2026,In Progress,25.1037,55.2828,High,7778
INFRA-0170,Bridge/Overpass - Zone 8,Bridge/Overpass,Dubai Municipality,Sharjah,1809,2023,2028,Completed,24.8591,55.1499,Medium,8275
INFRA-0171,Airport Expansion - Zone 17,Airport Expansion,Smart Dubai,Dubai,231,2020,2024,In Progress,24.8045,55.0667,Low,3848
INFRA-0172,Metro Expansion - Zone 19,Metro Expansion,ADNOC,Dubai,287,2021,2025,In Progress,25.0874,55.5645,High,726
INFRA-0173,Free Zone - Zone 3,Free Zone,Dubai Municipality,Dubai,3776,2019,2023,In Progress,24.9662,55.3196,Low,7140
INFRA-0174,Mixed Use Development Zone - Zone 19,Mixed Use Development Zone,RTA,Abu Dhabi,884,2023,2027,In Progress,25.0486,55.3854,High,1875
INFRA-0175,Smart Road - Zone 8,Smart Road,ADNOC,Dubai,364,2020,2022,In Progress,25.0287,55.5155,High,5358
INFRA-0176,Smart Road - Zone 2,Smart Road,Dubai South,Dubai,1685,2021,2024,In Progress,25.0189,55.5291,Medium,2371
INFRA-0177,Cycling Track - Zone 8,Cycling Track,DMRC,Other,719,2019,2023,Completed,25.2472,55.112,Low,8373
INFRA-0178,Metro Expansion - Zone 19,Metro Expansion,ADJP,Sharjah,2267,2018,2023,Completed,25.0168,55.3636,High,732
INFRA-0179,Smart Road - Zone 7,Smart Road,Smart Dubai,Abu Dhabi,990,2023,2027,Planned,25.3828,55.0982,Medium,4839
INFRA-0180,Metro Expansion - Zone 19,Metro Expansion,Dubai Municipality,Dubai,2806,2020,2022,In Progress,25.0027,55.3425,High,4149
INFRA-0181,Airport Expansion - Zone 19,Airport Expansion,DMRC,Dubai,2991,2023,2027,In Progress,25.0156,55.0685,Medium,7072
INFRA-0182,Metro Expansion - Zone 18,Metro Expansion,DMRC,Abu Dhabi,1398,2020,2021,Tendered,25.1526,55.4046,Medium,5453
INFRA-0183,Free Zone - Zone 9,Free Zone,Dubai Municipality,Dubai,1379,2021,2026,In Progress,25.0754,55.5741,Low,4266
INFRA-0184,Bridge/Overpass - Zone 19,Bridge/Overpass,ADNOC,Dubai,3415,2023,2025,Completed,25.3351,55.0068,High,3854
INFRA-0185,Smart Road - Zone 14,Smart Road,DEWA,Dubai,1715,2022,2023,Planned,25.3774,55.4156,Medium,9489
INFRA-0186,Smart City - Zone 6,Smart City,ADJP,Sharjah,3434,2023,2026,Completed,25.0413,55.2882,Medium,3848
INFRA-0187,Mixed Use Development Zone - Zone 2,Mixed Use Development Zone,Dubai South,Sharjah,760,2019,2024,Completed,25.2596,55.3613,High,3389
INFRA-0188,Smart Road - Zone 11,Smart Road,ADNOC,Dubai,4696,2023,2025,In Progress,24.8735,55.4789,Low,3490
INFRA-0189,Metro Expansion - Zone 2,Metro Expansion,DMRC,Dubai,4126,2022,2023,Completed,25.038,55.6281,High,5336
INFRA-0190,Mixed Use Development Zone - Zone 13,Mixed Use Development Zone,DMRC,Dubai,4054,2018,2021,Completed,25.1778,55.0903,High,3146
INFRA-0191,Water Infrastructure - Zone 16,Water Infrastructure,DEWA,Other,3623,2020,2024,In Progress,25.104,55.5584,Medium,3878
INFRA-0192,Free Zone - Zone 3,Free Zone,DMRC,Dubai,3704,2018,2023,Completed,24.9445,55.3142,Medium,5425
INFRA-0193,District Cooling - Zone 13,District Cooling,Smart Dubai,Dubai,934,2024,2029,In Progress,25.2575,55.6564,Medium,7811
INFRA-0194,Bridge/Overpass - Zone 4,Bridge/Overpass,Dubai Municipality,Dubai,2249,2021,2025,Completed,25.0714,55.6844,High,5541
INFRA-0195,Mixed Use Development Zone - Zone 3,Mixed Use Development Zone,Expo Authority,Sharjah,1035,2018,2019,Tendered,25.2501,54.9066,Medium,5960
INFRA-0196,Airport Expansion - Zone 2,Airport Expansion,Expo Authority,Other,301,2018,2019,Completed,25.12,55.5295,High,6267
INFRA-0197,District Cooling - Zone 20,District Cooling,DEWA,Dubai,966,2024,2025,In Progress,25.1724,55.6041,Medium,5870
INFRA-0198,Water Infrastructure - Zone 17,Water Infrastructure,ADNOC,Sharjah,2189,2018,2021,Planned,25.2013,54.9687,Medium,2403
INFRA-0199,Bridge/Overpass - Zone 19,Bridge/Overpass,DEWA,Sharjah,4385,2018,2022,Completed,25.0335,55.4501,Medium,4114
INFRA-0200,Smart Road - Zone 18,Smart Road,ADJP,Abu Dhabi,588,2023,2025,Completed,25.0952,55.1959,Medium,8746
