vehicle_id,brand,model,variant,category,fuel_type,price_eur,engine_cc,power_kw,consumption_l_per_100km,consumption_kwh_per_100km,range_km,co2_g_per_km,emission_class,annual_vehicle_tax_eur,seating_capacity,transmission,drive_type,body_color_options,safety_rating,launch_year,is_active,warranty_years,service_contract_available,origin,residual_value_36mo
VH0012,Volkswagen,Tiguan,Style,SUV,Petrol,44000,1498.0,110,6.7,,,154,Euro 6e,161,5,Manual,FWD,7,5,2024,True,2,True,Domestic,0.55
VH0013,Volkswagen,Tiguan eHybrid,Life,SUV,Plug-in Hybrid,48000,1395.0,150,1.4,,,32,Euro 6e,28,5,DSG,FWD,6,5,2024,True,2,True,Domestic,0.5
VH0014,Volkswagen,Tiguan eHybrid,Style,SUV,Plug-in Hybrid,53000,1395.0,150,1.6,,,33,Euro 6e,28,5,DSG,FWD,9,5,2024,True,2,True,Domestic,0.5
VH0015,Volkswagen,Passat Variant,Life,Estate,Diesel,45000,1968.0,110,5.2,,,137,Euro 6e,276,5,Manual,FWD,7,5,2024,True,2,True,Domestic,0.5
VH0016,Volkswagen,Passat Variant,Style,Estate,Diesel,49500,1968.0,110,5.4,,,142,Euro 6e,288,5,Manual,FWD,5,5,2024,True,2,True,Domestic,0.5
VH0017,Volkswagen,Polo,Life,Small Car,Petrol,22000,999.0,70,5.4,,,123,Euro 6d,78,5,Manual,FWD,5,5,2021,True,2,False,Domestic,0.5
VH0018,Volkswagen,Polo,Style,Small Car,Petrol,24000,999.0,70,5.6,,,128,Euro 6d,89,5,Manual,FWD,9,5,2021,True,2,False,Domestic,0.5
VH0019,Volkswagen,ID.3,Life,Compact,Electric,37000,,150,,15.8,429.0,0,BEV,0,5,Single-Speed,RWD,7,5,2023,True,2,True,Domestic,0.42
VH0020,Volkswagen,ID.3,Style,Compact,Electric,40500,,150,,16.1,416.0,0,BEV,0,5,Single-Speed,RWD,9,5,2023,True,2,True,Domestic,0.42
VH0021,Volkswagen,ID.4,Life,SUV,Electric,45000,,150,,16.9,522.0,0,BEV,0,5,Single-Speed,RWD,9,4,2022,True,2,False,Domestic,0.43
VH0022,Volkswagen,ID.4,Style,SUV,Electric,49500,,150,,17.2,506.0,0,BEV,0,5,Single-Speed,RWD,5,5,2022,True,2,False,Domestic,0.43
VH0023,Volkswagen,Touran,Life,Van,Diesel,38000,1968.0,110,5.4,,,142,Euro 6d,288,7,DSG,FWD,7,5,2019,True,2,True,Domestic,0.48
VH0024,Volkswagen,Touran,Style,Van,Diesel,42000,1968.0,110,5.6,,,148,Euro 6d,303,7,Manual,FWD,7,5,2019,True,2,True,Domestic,0.48
VH0025,Volkswagen,Caddy,Life,Van,Diesel,32000,1968.0,90,5.6,,,147,Euro 6d,301,5,DSG,FWD,8,5,2021,True,2,True,Domestic,0.49
VH0026,Volkswagen,Caddy,Style,Van,Diesel,35000,1968.0,90,5.8,,,153,Euro 6d,316,5,DSG,FWD,7,5,2021,True,2,True,Domestic,0.49
VH0027,Mercedes-Benz,A-Klasse,Basis,Compact,Petrol,36000,1332.0,120,5.9,,,134,Euro 6d,108,5,Automatic,FWD,5,5,2023,True,2,True,Domestic,0.48
VH0028,Mercedes-Benz,A-Klasse,Avantgarde,Compact,Petrol,39500,1332.0,120,6.1,,,139,Euro 6d,121,5,Manual,FWD,7,5,2023,True,2,True,Domestic,0.48
VH0029,Mercedes-Benz,C-Klasse,Basis,Sedan,Petrol,52000,1496.0,150,6.5,,,148,Euro 6d,146,5,Automatic,RWD,6,5,2022,True,2,False,Domestic,0.5
VH0030,Mercedes-Benz,C-Klasse,Avantgarde,Sedan,Petrol,57000,1496.0,150,6.7,,,154,Euro 6d,161,5,Automatic,RWD,7,5,2022,True,2,True,Domestic,0.5
VH0031,Mercedes-Benz,C-Klasse T-Modell,Basis,Estate,Diesel,55000,1993.0,147,4.9,,,129,Euro 6d,260,5,Automatic,RWD,9,5,2022,True,2,True,Domestic,0.51
VH0032,Mercedes-Benz,C-Klasse T-Modell,Avantgarde,Estate,Diesel,60500,1993.0,147,5.1,,,134,Euro 6d,271,5,Automatic,RWD,6,5,2022,True,2,False,Domestic,0.51
VH0033,Mercedes-Benz,GLA,Basis,SUV,Petrol,43000,1332.0,120,6.4,,,146,Euro 6d,138,5,Automatic,FWD,7,5,2023,True,2,False,Domestic,0.5
VH0034,Mercedes-Benz,GLA,Avantgarde,SUV,Petrol,47500,1332.0,120,6.6,,,152,Euro 6d,153,5,Manual,FWD,7,5,2023,True,2,True,Domestic,0.5
VH0035,Mercedes-Benz,GLC,Basis,SUV,Diesel,62000,1993.0,145,5.5,,,145,Euro 6d,298,5,Manual,AWD,8,5,2023,True,2,True,Domestic,0.55
VH0036,Mercedes-Benz,GLC,Avantgarde,SUV,Diesel,68000,1993.0,145,5.7,,,151,Euro 6d,313,5,Manual,AWD,8,5,2023,True,2,True,Domestic,0.55
VH0037,Mercedes-Benz,E-Klasse,Basis,Luxury,Diesel,62000,1993.0,145,5.1,,,134,Euro 6e,271,5,Automatic,RWD,7,5,2024,True,2,True,Domestic,0.47
VH0038,Mercedes-Benz,E-Klasse,Avantgarde,Luxury,Diesel,68000,1993.0,145,5.3,,,139,Euro 6e,283,5,Automatic,RWD,8,5,2024,True,2,True,Domestic,0.47
VH0039,Mercedes-Benz,S-Klasse,Basis,Luxury,Petrol,115000,2999.0,270,8.0,,,182,Euro 6d,276,5,Automatic,AWD,6,5,2021,True,2,False,Domestic,0.44
VH0040,Mercedes-Benz,S-Klasse,Avantgarde,Luxury,Petrol,126500,2999.0,270,8.2,,,189,Euro 6d,300,5,Automatic,AWD,5,4,2021,True,2,False,Domestic,0.44
VH0041,Mercedes-Benz,EQA,Basis,SUV,Electric,51000,,140,,16.5,486.0,0,BEV,0,5,Single-Speed,FWD,6,5,2021,True,2,True,Domestic,0.4
VH0042,Mercedes-Benz,EQA,Avantgarde,SUV,Electric,56000,,140,,16.8,471.0,0,BEV,0,5,Single-Speed,FWD,8,4,2021,True,2,True,Domestic,0.4
VH0043,Mercedes-Benz,V-Klasse,Basis,Van,Diesel,62000,1950.0,140,6.8,,,178,Euro 6d,387,8,Automatic,RWD,5,5,2020,True,2,True,Domestic,0.52
VH0044,Mercedes-Benz,V-Klasse,Avantgarde,Van,Diesel,68000,1950.0,140,7.0,,,185,Euro 6d,411,8,Manual,RWD,7,5,2020,True,2,True,Domestic,0.52
VH0045,BMW,1er,Advantage,Compact,Petrol,36000,1499.0,115,6.0,,,136,Euro 6e,116,5,Manual,FWD,7,5,2024,True,2,False,Domestic,0.48
VH0046,BMW,1er,Sport Line,Compact,Petrol,39500,1499.0,115,6.2,,,141,Euro 6e,129,5,Automatic,FWD,9,5,2024,True,2,True,Domestic,0.48
VH0047,BMW,3er,Advantage,Sedan,Diesel,52000,1995.0,140,4.9,,,128,Euro 6d,258,5,Automatic,RWD,5,5,2022,True,2,True,Domestic,0.5
VH0048,BMW,3er,Sport Line,Sedan,Diesel,57000,1995.0,140,5.1,,,133,Euro 6d,269,5,Manual,RWD,7,5,2022,True,2,True,Domestic,0.5
VH0049,BMW,3er Touring,Advantage,Estate,Diesel,54000,1995.0,140,5.1,,,133,Euro 6d,269,5,Manual,RWD,5,5,2022,True,2,True,Domestic,0.51
VH0050,BMW,3er Touring,Sport Line,Estate,Diesel,59500,1995.0,140,5.3,,,138,Euro 6d,281,5,Manual,RWD,7,5,2022,True,2,True,Domestic,0.51
VH0051,BMW,X1,Advantage,SUV,Petrol,46000,1499.0,125,6.3,,,143,Euro 6d,134,5,Automatic,AWD,8,5,2023,True,2,False,Domestic,0.53
VH0052,BMW,X1,Sport Line,SUV,Petrol,50500,1499.0,125,6.5,,,149,Euro 6d,149,5,Automatic,AWD,5,5,2023,True,2,True,Domestic,0.53
VH0053,BMW,X3,Advantage,SUV,Diesel,62000,1995.0,145,5.6,,,147,Euro 6e,304,5,Automatic,AWD,6,5,2024,True,2,False,Domestic,0.54
VH0054,BMW,X3,Sport Line,SUV,Diesel,68000,1995.0,145,5.8,,,153,Euro 6e,319,5,Automatic,AWD,5,5,2024,True,2,False,Domestic,0.54
VH0055,BMW,5er,Advantage,Luxury,Diesel,68000,1995.0,145,5.3,,,139,Euro 6e,284,5,Automatic,RWD,6,5,2024,True,2,False,Domestic,0.46
VH0056,BMW,5er,Sport Line,Luxury,Diesel,75000,1995.0,145,5.5,,,145,Euro 6e,299,5,Automatic,RWD,7,5,2024,True,2,True,Domestic,0.46
VH0057,BMW,X5,Advantage,Luxury,Diesel,85000,2993.0,220,6.4,,,168,Euro 6d,456,5,Automatic,AWD,7,5,2019,True,2,True,Domestic,0.5
VH0058,BMW,X5,Sport Line,Luxury,Diesel,93500,2993.0,220,6.6,,,175,Euro 6d,476,5,Automatic,AWD,7,5,2019,True,2,False,Domestic,0.5
VH0059,BMW,i4,Advantage,Sedan,Electric,58000,,250,,16.1,493.0,0,BEV,0,5,Single-Speed,RWD,5,4,2022,True,2,True,Domestic,0.43
VH0060,BMW,i4,Sport Line,Sedan,Electric,64000,,250,,16.4,478.0,0,BEV,0,5,Single-Speed,RWD,9,4,2022,True,2,True,Domestic,0.43
VH0061,BMW,iX1,Advantage,SUV,Electric,55000,,230,,17.0,440.0,0,BEV,0,5,Single-Speed,AWD,5,5,2023,True,2,False,Domestic,0.42
VH0062,BMW,iX1,Sport Line,SUV,Electric,60500,,230,,17.3,427.0,0,BEV,0,5,Single-Speed,AWD,6,5,2023,True,2,True,Domestic,0.42
VH0063,Audi,A1,Basis,Small Car,Petrol,27000,999.0,85,5.6,,,127,Euro 6d,86,5,DSG,FWD,9,5,2019,True,2,True,Domestic,0.48
VH0064,Audi,A1,advanced,Small Car,Petrol,29500,999.0,85,5.8,,,132,Euro 6d,97,5,Manual,FWD,6,5,2019,True,2,True,Domestic,0.48
VH0065,Audi,A3 Sportback,Basis,Compact,Petrol,36000,1498.0,110,5.5,,,125,Euro 6d,92,5,DSG,FWD,7,5,2021,True,2,True,Domestic,0.5
VH0066,Audi,A3 Sportback,advanced,Compact,Petrol,39500,1498.0,110,5.7,,,130,Euro 6d,103,5,DSG,FWD,9,5,2021,True,2,True,Domestic,0.5
VH0067,Audi,A4 Avant,Basis,Estate,Diesel,50000,1968.0,120,4.9,,,129,Euro 6d,258,5,DSG,FWD,9,5,2020,True,2,False,Domestic,0.49
VH0068,Audi,A4 Avant,advanced,Estate,Diesel,55000,1968.0,120,5.1,,,134,Euro 6d,269,5,Manual,FWD,6,5,2020,True,2,True,Domestic,0.49
VH0069,Audi,A6 Avant,Basis,Estate,Diesel,65000,1968.0,150,5.4,,,142,Euro 6d,288,5,DSG,FWD,9,5,2019,True,2,False,Domestic,0.46
VH0070,Audi,A6 Avant,advanced,Estate,Diesel,71500,1968.0,150,5.6,,,148,Euro 6d,303,5,DSG,FWD,9,5,2019,True,2,True,Domestic,0.46
VH0071,Audi,Q3,Basis,SUV,Petrol,43000,1498.0,110,6.3,,,143,Euro 6d,134,5,DSG,FWD,5,5,2019,True,2,True,Domestic,0.52
VH0072,Audi,Q3,advanced,SUV,Petrol,47500,1498.0,110,6.5,,,149,Euro 6d,149,5,DSG,FWD,8,5,2019,True,2,True,Domestic,0.52
VH0073,Audi,Q5,Basis,SUV,Diesel,60000,1968.0,150,5.6,,,147,Euro 6d,301,5,DSG,AWD,6,5,2021,True,2,False,Domestic,0.53
VH0074,Audi,Q5,advanced,SUV,Diesel,66000,1968.0,150,5.8,,,153,Euro 6d,316,5,DSG,AWD,6,5,2021,True,2,True,Domestic,0.53
VH0075,Audi,Q7,Basis,Luxury,Diesel,82000,2967.0,170,7.1,,,186,Euro 6d,511,7,DSG,AWD,9,5,2020,True,2,True,Domestic,0.48
VH0076,Audi,Q7,advanced,Luxury,Diesel,90000,2967.0,170,7.3,,,193,Euro 6d,535,7,DSG,AWD,5,5,2020,True,2,False,Domestic,0.48
VH0077,Audi,Q4 e-tron,Basis,SUV,Electric,48000,,150,,16.6,522.0,0,BEV,0,5,Single-Speed,RWD,5,4,2022,True,2,False,Domestic,0.42
VH0078,Audi,Q4 e-tron,advanced,SUV,Electric,53000,,150,,16.9,506.0,0,BEV,0,5,Single-Speed,RWD,5,5,2022,True,2,True,Domestic,0.42
VH0079,Skoda,Fabia,Essence,Small Car,Petrol,21000,999.0,70,5.2,,,118,Euro 6d,67,5,Manual,FWD,9,5,2021,True,2,True,Import,0.49
VH0080,Skoda,Fabia,Selection,Small Car,Petrol,23000,999.0,70,5.4,,,123,Euro 6d,78,5,Manual,FWD,5,5,2021,True,2,True,Import,0.49
VH0081,Skoda,Scala,Essence,Compact,Petrol,25000,999.0,85,5.4,,,123,Euro 6d,78,5,Manual,FWD,6,5,2019,True,2,True,Import,0.47
VH0082,Skoda,Scala,Selection,Compact,Petrol,27500,999.0,85,5.6,,,128,Euro 6d,89,5,Manual,FWD,7,5,2019,True,2,False,Import,0.47
VH0083,Skoda,Octavia Combi,Essence,Estate,Diesel,34000,1968.0,110,4.8,,,126,Euro 6d,251,5,DSG,FWD,9,5,2020,True,2,True,Import,0.51
VH0084,Skoda,Octavia Combi,Selection,Estate,Diesel,37500,1968.0,110,5.0,,,131,Euro 6d,262,5,DSG,FWD,5,5,2020,True,2,True,Import,0.51
VH0085,Skoda,Superb Combi,Essence,Estate,Diesel,45000,1968.0,142,5.2,,,137,Euro 6e,276,5,DSG,FWD,5,5,2024,True,2,True,Import,0.48
VH0086,Skoda,Superb Combi,Selection,Estate,Diesel,49500,1968.0,142,5.4,,,142,Euro 6e,288,5,DSG,FWD,7,5,2024,True,2,True,Import,0.48
VH0087,Skoda,Karoq,Essence,SUV,Petrol,33000,1498.0,110,6.0,,,137,Euro 6d,119,5,DSG,FWD,7,5,2022,True,2,True,Import,0.52
VH0088,Skoda,Karoq,Selection,SUV,Petrol,36500,1498.0,110,6.2,,,142,Euro 6d,131,5,DSG,FWD,5,5,2022,True,2,True,Import,0.52
VH0089,Skoda,Kodiaq,Essence,SUV,Diesel,42000,1968.0,110,5.6,,,147,Euro 6e,301,7,Manual,AWD,8,5,2024,True,2,False,Import,0.54
VH0090,Skoda,Kodiaq,Selection,SUV,Diesel,46000,1968.0,110,5.8,,,153,Euro 6e,316,7,DSG,AWD,7,5,2024,True,2,False,Import,0.54
VH0091,Skoda,Enyaq,Essence,SUV,Electric,44000,,150,,16.4,534.0,0,BEV,0,5,Single-Speed,RWD,8,5,2021,True,2,False,Import,0.43
VH0092,Skoda,Enyaq,Selection,SUV,Electric,48500,,150,,16.7,518.0,0,BEV,0,5,Single-Speed,RWD,9,4,2021,True,2,True,Import,0.43
VH0093,Opel,Corsa,Edition,Small Car,Petrol,21000,1199.0,74,5.5,,,124,Euro 6d,84,5,Automatic,FWD,6,4,2020,True,2,True,Domestic,0.46
VH0094,Opel,Corsa,Elegance,Small Car,Petrol,23000,1199.0,74,5.7,,,129,Euro 6d,95,5,Manual,FWD,8,5,2020,True,2,True,Domestic,0.46
VH0095,Opel,Corsa Electric,Edition,Small Car,Electric,33000,,100,,15.3,357.0,0,BEV,0,5,Single-Speed,FWD,6,5,2023,True,2,True,Domestic,0.38
VH0096,Opel,Corsa Electric,Elegance,Small Car,Electric,36500,,100,,15.6,346.0,0,BEV,0,5,Single-Speed,FWD,7,5,2023,True,2,False,Domestic,0.38
VH0097,Opel,Astra,Edition,Compact,Petrol,29000,1199.0,81,5.5,,,126,Euro 6d,88,5,Automatic,FWD,7,4,2022,True,2,False,Domestic,0.46
VH0098,Opel,Astra,Elegance,Compact,Petrol,32000,1199.0,81,5.7,,,131,Euro 6d,99,5,Automatic,FWD,6,4,2022,True,2,True,Domestic,0.46
VH0099,Opel,Mokka,Edition,SUV,Petrol,27000,1199.0,96,5.8,,,132,Euro 6d,101,5,Automatic,FWD,6,5,2021,True,2,True,Domestic,0.47
VH0100,Opel,Mokka,Elegance,SUV,Petrol,29500,1199.0,96,6.0,,,137,Euro 6d,113,5,Manual,FWD,5,5,2021,True,2,True,Domestic,0.47
VH0101,Opel,Grandland,Edition,SUV,Diesel,36000,1499.0,96,5.1,,,133,Euro 6d,222,5,Automatic,FWD,7,4,2022,True,2,True,Domestic,0.45
VH0102,Opel,Grandland,Elegance,SUV,Diesel,39500,1499.0,96,5.3,,,138,Euro 6d,234,5,Manual,FWD,5,4,2022,True,2,True,Domestic,0.45
VH0103,Opel,Combo Life,Edition,Van,Diesel,32000,1499.0,96,5.3,,,139,Euro 6d,236,7,Automatic,FWD,7,5,2019,True,2,True,Domestic,0.45
VH0104,Opel,Combo Life,Elegance,Van,Diesel,35000,1499.0,96,5.5,,,145,Euro 6d,251,7,Automatic,FWD,8,5,2019,True,2,False,Domestic,0.45
VH0105,Ford,Focus,Trend,Compact,Petrol,28000,999.0,92,5.7,,,129,Euro 6d,91,5,Manual,FWD,7,4,2022,True,2,True,Domestic,0.44
VH0106,Ford,Focus,Titanium,Compact,Petrol,31000,999.0,92,5.9,,,134,Euro 6d,102,5,Automatic,FWD,5,5,2022,True,2,True,Domestic,0.44
VH0107,Ford,Focus Turnier,Trend,Estate,Diesel,32000,1499.0,88,4.9,,,128,Euro 6d,211,5,Automatic,FWD,9,4,2022,True,2,False,Domestic,0.44
VH0108,Ford,Focus Turnier,Titanium,Estate,Diesel,35000,1499.0,88,5.1,,,133,Euro 6d,222,5,Manual,FWD,7,5,2022,True,2,True,Domestic,0.44
VH0109,Ford,Puma,Trend,SUV,Petrol,28000,999.0,92,5.6,,,127,Euro 6d,86,5,Automatic,FWD,9,5,2020,True,2,False,Domestic,0.47
VH0110,Ford,Puma,Titanium,SUV,Petrol,31000,999.0,92,5.8,,,132,Euro 6d,97,5,Automatic,FWD,9,5,2020,True,2,False,Domestic,0.47
VH0111,Ford,Kuga,Trend,SUV,Plug-in Hybrid,42000,2488.0,165,1.4,,,32,Euro 6d,50,5,Manual,FWD,9,5,2020,True,2,False,Domestic,0.46
VH0112,Ford,Kuga,Titanium,SUV,Plug-in Hybrid,46000,2488.0,165,1.6,,,33,Euro 6d,50,5,Automatic,FWD,7,5,2020,True,2,True,Domestic,0.46
VH0113,Ford,Transit Custom,Trend,Van,Diesel,42000,1995.0,100,7.1,,,187,Euro 6d,422,3,Manual,FWD,5,5,2023,True,2,True,Domestic,0.48
VH0114,Ford,Transit Custom,Titanium,Van,Diesel,46000,1995.0,100,7.3,,,194,Euro 6d,446,3,Automatic,FWD,5,5,2023,True,2,True,Domestic,0.48
VH0115,Ford,Mustang Mach-E,Trend,SUV,Electric,52000,,198,,17.0,600.0,0,BEV,0,5,Single-Speed,RWD,6,5,2021,True,2,True,Domestic,0.38
VH0116,Ford,Mustang Mach-E,Titanium,SUV,Electric,57000,,198,,17.3,582.0,0,BEV,0,5,Single-Speed,RWD,6,5,2021,True,2,True,Domestic,0.38
VH0117,Hyundai,i20,Select,Small Car,Petrol,21000,1197.0,74,5.5,,,125,Euro 6d,86,5,Manual,FWD,8,5,2020,True,5,True,Import,0.45
VH0118,Hyundai,i20,Trend,Small Car,Petrol,23000,1197.0,74,5.7,,,130,Euro 6d,97,5,Manual,FWD,9,5,2020,True,5,False,Import,0.45
VH0119,Hyundai,i30,Select,Compact,Petrol,26000,1482.0,88,5.9,,,134,Euro 6d,111,5,Automatic,FWD,6,5,2020,True,5,True,Import,0.46
VH0120,Hyundai,i30,Trend,Compact,Petrol,28500,1482.0,88,6.1,,,139,Euro 6d,124,5,Manual,FWD,9,5,2020,True,5,True,Import,0.46
VH0121,Hyundai,Tucson,Select,SUV,Hybrid,38000,1598.0,169,5.6,,,127,Euro 6d,98,5,Automatic,FWD,7,5,2021,True,5,True,Import,0.5
VH0122,Hyundai,Tucson,Trend,SUV,Hybrid,42000,1598.0,169,5.8,,,132,Euro 6d,109,5,Automatic,FWD,9,5,2021,True,5,True,Import,0.5
VH0123,Hyundai,Santa Fe,Select,SUV,Hybrid,52000,1598.0,158,6.4,,,145,Euro 6e,141,7,Automatic,AWD,7,5,2024,True,5,False,Import,0.48
VH0124,Hyundai,Santa Fe,Trend,SUV,Hybrid,57000,1598.0,158,6.6,,,151,Euro 6e,156,7,Manual,AWD,5,5,2024,True,5,False,Import,0.48
VH0125,Hyundai,Kona,Select,SUV,Electric,42000,,160,,16.6,514.0,0,BEV,0,5,Single-Speed,FWD,5,5,2023,True,5,False,Import,0.41
VH0126,Hyundai,Kona,Trend,SUV,Electric,46000,,160,,16.9,499.0,0,BEV,0,5,Single-Speed,FWD,9,5,2023,True,5,False,Import,0.41
VH0127,Hyundai,Ioniq 5,Select,SUV,Electric,47000,,168,,16.7,507.0,0,BEV,0,5,Single-Speed,RWD,5,5,2021,True,5,True,Import,0.42
VH0128,Hyundai,Ioniq 5,Trend,SUV,Electric,51500,,168,,17.0,492.0,0,BEV,0,5,Single-Speed,RWD,6,5,2021,True,5,True,Import,0.42
VH0129,Kia,Picanto,Edition,Small Car,Petrol,17000,998.0,46,5.1,,,116,Euro 6d,62,5,Manual,FWD,5,5,2020,True,7,True,Import,0.44
VH0130,Kia,Picanto,Vision,Small Car,Petrol,18500,998.0,46,5.3,,,121,Euro 6d,73,5,Automatic,FWD,7,5,2020,True,7,True,Import,0.44
VH0131,Kia,Ceed SW,Edition,Estate,Petrol,27000,1482.0,103,6.0,,,136,Euro 6d,116,5,Automatic,FWD,5,4,2019,True,7,True,Import,0.46
VH0132,Kia,Ceed SW,Vision,Estate,Petrol,29500,1482.0,103,6.2,,,141,Euro 6d,129,5,Manual,FWD,9,5,2019,True,7,True,Import,0.46
VH0133,Kia,Niro,Edition,SUV,Hybrid,34000,1580.0,104,4.6,,,105,Euro 6d,52,5,Automatic,FWD,6,5,2022,True,7,True,Import,0.48
VH0134,Kia,Niro,Vision,SUV,Hybrid,37500,1580.0,104,4.8,,,109,Euro 6d,60,5,Automatic,FWD,8,5,2022,True,7,False,Import,0.48
VH0135,Kia,Sportage,Edition,SUV,Hybrid,38000,1598.0,169,5.7,,,129,Euro 6d,103,5,Automatic,FWD,8,5,2022,True,7,True,Import,0.5
VH0136,Kia,Sportage,Vision,SUV,Hybrid,42000,1598.0,169,5.9,,,134,Euro 6d,114,5,Manual,FWD,6,5,2022,True,7,True,Import,0.5
VH0137,Kia,Sorento,Edition,SUV,Diesel,52000,2151.0,148,6.0,,,157,Euro 6d,344,7,Automatic,AWD,7,5,2020,True,7,True,Import,0.5
VH0138,Kia,Sorento,Vision,SUV,Diesel,57000,2151.0,148,6.2,,,163,Euro 6d,362,7,Automatic,AWD,7,5,2020,True,7,True,Import,0.5
VH0139,Kia,EV6,Edition,SUV,Electric,49000,,168,,16.5,528.0,0,BEV,0,5,Single-Speed,RWD,9,5,2021,True,7,True,Import,0.43
VH0140,Kia,EV6,Vision,SUV,Electric,54000,,168,,16.8,512.0,0,BEV,0,5,Single-Speed,RWD,9,5,2021,True,7,False,Import,0.43
VH0141,Seat,Ibiza,Reference,Small Car,Petrol,21000,999.0,70,5.4,,,122,Euro 6d,75,5,DSG,FWD,9,4,2021,True,2,False,Import,0.46
VH0142,Seat,Ibiza,Style,Small Car,Petrol,23000,999.0,70,5.6,,,127,Euro 6d,86,5,DSG,FWD,9,4,2021,True,2,True,Import,0.46
VH0143,Seat,Leon,Reference,Compact,Petrol,27000,1498.0,110,5.5,,,125,Euro 6d,92,5,DSG,FWD,7,5,2020,True,2,False,Import,0.47
VH0144,Seat,Leon,Style,Compact,Petrol,29500,1498.0,110,5.7,,,130,Euro 6d,103,5,Manual,FWD,5,5,2020,True,2,True,Import,0.47
VH0145,Seat,Arona,Reference,SUV,Petrol,24000,999.0,85,5.7,,,130,Euro 6d,93,5,DSG,FWD,7,5,2021,True,2,True,Import,0.47
VH0146,Seat,Arona,Style,SUV,Petrol,26500,999.0,85,5.9,,,135,Euro 6d,104,5,DSG,FWD,9,5,2021,True,2,True,Import,0.47
VH0147,Seat,Ateca,Reference,SUV,Diesel,33000,1968.0,110,5.2,,,137,Euro 6d,276,5,DSG,FWD,5,5,2020,True,2,False,Import,0.48
VH0148,Seat,Ateca,Style,SUV,Diesel,36500,1968.0,110,5.4,,,142,Euro 6d,288,5,DSG,FWD,5,5,2020,True,2,True,Import,0.48
VH0149,Seat,Cupra Formentor,Reference,SUV,Petrol,38000,1498.0,140,6.2,,,141,Euro 6d,129,5,Manual,FWD,8,5,2021,True,2,True,Import,0.5
VH0150,Seat,Cupra Formentor,Style,SUV,Petrol,42000,1498.0,140,6.4,,,147,Euro 6d,144,5,DSG,FWD,9,5,2021,True,2,True,Import,0.5
VH0151,Seat,Cupra Born,Reference,Compact,Electric,40000,,170,,16.0,424.0,0,BEV,0,5,Single-Speed,RWD,9,4,2022,True,2,False,Import,0.41
VH0152,Seat,Cupra Born,Style,Compact,Electric,44000,,170,,16.3,411.0,0,BEV,0,5,Single-Speed,RWD,8,5,2022,True,2,True,Import,0.41
VH0153,Toyota,Yaris,Basis,Small Car,Hybrid,25000,1490.0,85,4.2,,,96,Euro 6d,32,5,Manual,FWD,5,5,2020,True,3,True,Import,0.52
VH0154,Toyota,Yaris,Business Edition,Small Car,Hybrid,27500,1490.0,85,4.4,,,100,Euro 6d,40,5,Automatic,FWD,5,5,2020,True,3,True,Import,0.52
VH0155,Toyota,Yaris Cross,Basis,SUV,Hybrid,28000,1490.0,85,4.4,,,100,Euro 6d,40,5,Automatic,FWD,6,5,2021,True,3,False,Import,0.53
